,date,region,pop_mid,pop_low,pop_up,mil_mid,mil_low,mil_up
995,2020-05-12,North East and Yorkshire,2625.0,1966.9812747572807,3497.3297714865835,306.69050565075446,229.78248547313223,408.5575890957749
1825,2020-05-12,Northern Ireland,433.0,119.16029153126499,1519.4307580460004,230.23558938646198,63.32792397014783,807.503861285826
1659,2020-05-12,Wales,1852.0,1143.6355525993924,3401.7079875912864,590.159133314976,364.3740065650892,1083.8190241513853
1493,2020-05-12,Scotland,1467.0,869.3350664103896,2811.1228069414674,269.8301458935399,159.86007363056757,516.9310617571334
1327,2020-05-12,North West,2419.0,1788.6743757335544,3264.5124880002722,346.0118074472662,255.8142367208104,466.8869760270684
1161,2020-05-12,South West,717.0,469.77227275339357,1092.7594763052598,128.0419194496819,83.87206002033786,195.0987610385859
829,2020-05-12,Midlands,2269.0,1649.2049805009062,3115.694198797918,215.29801461648296,156.5055246511975,295.67176973201765
663,2020-05-12,East of England,1427.0,1050.1850590187414,1935.9529981350652,220.02423006976076,161.9148747676147,298.48033406789625
497,2020-05-12,London,1243.0,886.2176564313585,1740.4506955382908,139.84940139819813,99.72516557866433,195.8511349152984
331,2020-05-12,South East,1230.0,931.7320821886026,1622.628711037879,139.15887671529552,105.40117836525569,183.5581080249514
165,2020-05-12,England,10874.0,9651.108860488002,12248.276869321966,194.5073074041432,172.6387108129752,219.0967648346688
1991,2020-05-12,UK,14626.0,12981.15856110884,16474.46178873488,,,
1824,2020-05-13,Northern Ireland,970.0,417.64113010006105,2182.7835470037708,515.7570936009361,221.95603412772644,1160.0437421863444
662,2020-05-13,East of England,1345.0,982.0439843374437,1839.7055503806343,207.40851214969683,151.4090563132349,283.6411461399873
164,2020-05-13,England,10617.0,9416.759449250827,11967.571336175206,189.91663071984536,168.44667642391124,214.07551369544214
1658,2020-05-13,Wales,1969.0,1164.470637066686,3493.6423883470625,627.4548777816207,371.01227798574797,1113.1102663381143
994,2020-05-13,North East and Yorkshire,2301.0,1693.5753624507856,3119.74640023771,268.77845737113336,197.84324391599642,364.4483509284738
1990,2020-05-13,UK,15064.0,13361.030832016055,16980.266987674797,,,
1160,2020-05-13,South West,660.0,428.07929895837975,1016.7969780315191,117.89971200751606,76.42829246874068,181.5365914853085
330,2020-05-13,South East,1210.0,913.8304639158683,1600.6868377895885,136.88046583861558,103.37607726949966,181.07595747961605
828,2020-05-13,Midlands,2534.0,1878.9633560865213,3412.772665816185,240.50980337256877,178.309033335189,323.86379067118907
496,2020-05-13,London,1179.0,836.0909830423537,1659.4985284711565,132.63765259467863,94.08446234131769,186.74167043314165
1326,2020-05-13,North West,2514.0,1872.3824914985805,3368.3968352652737,359.603337258348,267.7860791267181,481.7444008123579
1492,2020-05-13,Scotland,1508.0,852.9919907735111,2798.1681740198865,277.2560338135814,156.85478214330578,514.5488633934438
1491,2020-05-14,Scotland,1482.0,878.9024294471378,2575.9665658777544,272.4620343371222,161.61939453984624,473.68870853381776
1159,2020-05-14,South West,623.0,404.09182301336523,960.0033159924196,111.2994621178101,72.14562373990151,171.39678182093806
993,2020-05-14,North East and Yorkshire,2379.0,1776.0270027038123,3179.5677809262875,277.8591220413675,207.47523333644216,371.43667649896094
1989,2020-05-14,UK,14375.0,12735.084547615323,16223.665273317147,,,
1325,2020-05-14,North West,2232.0,1643.5878437460838,3023.2657140028195,319.1812168510448,235.06412091305035,432.3841284496794
163,2020-05-14,England,9936.0,8802.49043931171,11213.797436916811,177.74070856365555,157.45865302668167,200.59203152841386
661,2020-05-14,East of England,1249.0,907.6320786578898,1715.153456141141,192.52192487978692,139.93641700470948,264.4380194456551
1823,2020-05-14,Northern Ireland,1060.0,517.5809044072085,2114.28311476046,563.2146666461022,275.0691840502926,1123.6390799512872
1657,2020-05-14,Wales,1897.0,1168.3725404590057,3172.1521870596243,604.3110808235472,372.25546439164265,1010.6801937085387
827,2020-05-14,Midlands,2369.0,1749.4884998673804,3201.309277666434,224.7666154072369,166.0221857078186,303.79643161140456
495,2020-05-14,London,1077.0,755.0797988157125,1532.9202644541976,121.14410898874927,84.9683567186227,172.4979479727002
329,2020-05-14,South East,1102.0,827.5736910523286,1467.4258431278793,124.71831586018232,93.61837365963193,166.00095240468397
328,2020-05-15,South East,1098.0,831.5228855190823,1448.5438068468752,124.20561741737222,94.06512198819826,163.8649425881298
660,2020-05-15,East of England,1002.0,710.9237134892837,1410.1771958996726,154.49039044908602,109.60841905949334,217.41755142430267
1490,2020-05-15,Scotland,1395.0,909.2702090691304,2204.3268591931223,256.53437687692167,167.20365735626973,405.34871723453455
1988,2020-05-15,UK,13418.0,11886.056720206376,15143.620423306504,,,
1158,2020-05-15,South West,600.0,393.1322985215778,915.0857740257981,107.17400250818638,70.18893546925916,163.37730729190773
1324,2020-05-15,North West,2100.0,1546.3679295068418,2845.611645256821,300.3450038157046,221.15983598976754,406.97623944922003
494,2020-05-15,London,1053.0,742.9406241859799,1491.241445367015,118.5183586168959,83.6023478254878,167.80787313112046
1656,2020-05-15,Wales,1806.0,1232.5014435577837,2721.5929528249535,575.2648298255474,392.68759008554485,867.1274045355933
