,date,region,pop_mid,pop_low,pop_up,100k_mid,100k_low,100k_up
2302,2020-05-12,Scotland,1411.0,593.4112086874226,2682.2062091805155,25.940141271211182,10.912105490657078,49.32248780236692
4276,2020-05-12,Northern Ireland,433.0,119.0927959304728,1518.5701115121715,23.010517774320665,6.329205332716467,80.70464693345384
3947,2020-05-12,North East,787.0,461.55650947670273,1334.4460067740886,29.617986855324002,17.365399247178992,50.2066100372168
3618,2020-05-12,Wales,1694.0,738.8986657620775,3104.8012328680966,53.984905094085526,23.542068684151705,98.92214895182315
3289,2020-05-12,West Midlands,1043.0,643.2731368875485,1685.583897445331,17.675061188848883,10.901535801042959,28.565553495006338
2960,2020-05-12,East Midlands,1208.0,826.3048559607381,1760.202571732185,25.139472760955062,17.19981740701086,36.63921688798963
2631,2020-05-12,Yorkshire and The Humber,1689.0,1212.345397362631,2348.167672500733,30.831103428599235,22.12464557022037,42.852785688423964
1973,2020-05-12,North West,2529.0,1912.9237743734382,3336.5449524192823,34.681412267215606,26.232849394178572,45.755655508223526
1644,2020-05-12,South West,769.0,521.5018020912937,1131.253843791087,13.728293854417618,9.312972883382763,20.20191747986444
1315,2020-05-12,East of England,1355.0,1004.6588014347902,1825.2325232046167,21.85448438876695,16.20100195598459,29.43347098172417
986,2020-05-12,London,1260.0,911.3626093207574,1739.5119346967083,14.143258031971598,10.230740036162192,19.527347525204455
657,2020-05-12,South East,1200.0,916.5331038957609,1570.9008995764386,13.142700492748492,10.034713532641868,17.199095644680384
328,2020-05-12,England,10844.0,9677.132054109079,12148.89181927393,19.37202705765835,17.28763828378251,21.70329454491959
4605,2020-05-12,UK,14382.0,12834.42578404618,16112.630223607308,,,
2630,2020-05-13,Yorkshire and The Humber,1345.0,944.1165688921507,1910.625726562763,24.539506967793386,17.229615016605194,34.86788262611083
4604,2020-05-13,UK,14073.0,12572.973056051802,15750.005203323151,,,
1972,2020-05-13,North West,2378.0,1808.8512464965575,3121.2014497386936,32.615321933313226,24.80565245803307,42.80254584984988
