,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
0,2020-05-12,East Midlands,979.0,25.0,4804149.0,85741.0,6067.0,589.1480811563379,330.26627853594414,926.0296638451308,12.263318251709885,6.8746052326009055,19.275623296553267,122.63318251709885,68.74605232600906,192.7562329655326
641,2020-05-12,East of England,1732.0,47.0,6201214.0,161416.0,11042.0,775.2987807671643,515.086666038404,1087.635676725168,12.502370999729473,8.306223040172522,17.539076650558552,125.02370999729473,83.06223040172522,175.39076650558553
8333,2020-05-12,Yorkshire and The Humber,1074.0,47.0,5479615.0,91087.0,6781.0,1201.8729535161094,801.2639458452197,1685.7444050593579,21.9335291533458,14.622632171151073,30.763920550245924,219.335291533458,146.22632171151076,307.63920550245916
4487,2020-05-12,Scotland,391.0,26.0,5438100.0,108220.0,7357.0,1664.326912597701,954.7139151275902,2563.34045002194,30.604933940120652,17.556019843834978,47.1366920435803,306.04933940120657,175.56019843834983,471.36692043580285
7051,2020-05-12,Wales,250.0,34.0,3138631.0,90202.0,6678.0,2128.5500805059355,1346.730148976183,3077.266787056983,67.81778681552358,42.908202620065346,98.04487329211314,678.1778681552357,429.08202620065344,980.4487329211313
3846,2020-05-12,Northern Ireland,100.0,2.0,1881639.0,14237.0,907.0,196.93916718729758,16.267738842663938,650.6804836197821,10.466362952048591,0.8645515342031035,34.58051643379957,104.66362952048591,8.645515342031034,345.80516433799585
2564,2020-05-12,North East,506.0,20.0,2657909.0,40626.0,3166.0,558.0654042443401,288.1260529585674,917.9264298220095,20.99640748589737,10.840327978067247,34.535660544511096,209.96407485897373,108.40327978067245,345.35660544511086
7692,2020-05-12,West Midlands,891.0,18.0,5900757.0,83731.0,5970.0,581.4196173437205,286.0171454966043,985.0280993414793,9.853305556282363,4.847126317803027,16.69324968544679,98.53305556282363,48.47126317803026,166.9324968544679
1282,2020-05-12,England,13627.0,346.0,55977178.0,1259444.0,85898.0,7239.005080442445,4612.140862477088,10505.571837821075,12.932065064877767,8.239323644498633,18.76759817692324,129.3206506487777,82.39323644498633,187.6759817692324
5769,2020-05-12,South West,1571.0,25.0,5599735.0,159113.0,10892.0,414.1726639110556,231.39419466412662,653.5604516977927,7.396290430012412,4.132234733681623,11.671274653136134,73.96290430012412,41.32234733681622,116.71274653136135
6410,2020-05-12,UK,14368.0,408.0,66435548.0,1472103.0,100840.0,11228.82124073338,6929.852665423523,16796.85955851978,232.83810258665525,138.04172341275188,363.27065526236674,2328.381025866553,1380.4172341275187,3632.7065526236665
3205,2020-05-12,North West,1348.0,64.0,7292093.0,119223.0,8600.0,1678.261282140438,1193.7103646541193,2241.672719260081,23.014809083488625,16.369927874673554,30.74114275915133,230.14809083488623,163.6992787467356,307.41142759151325
5128,2020-05-12,South East,3367.0,56.0,9133625.0,294307.0,19191.0,666.3330822480079,459.2781560321732,910.5760451784793,7.295384715794746,5.028432369756511,9.969492344808105,72.95384715794745,50.284323697565114,99.69492344808106
