,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
0,2020-05-12,East Midlands,975.0,25.0,4804149.0,85512.0,6043.0,612.0973564223807,343.1727408825287,962.1572070244173,12.741015243748286,7.143257648389522,20.027630429955803,127.41015243748285,71.4325764838952,200.27630429955795
6528,2020-05-12,Northern Ireland,101.0,2.0,1881639.0,14228.0,909.0,202.6128896136434,16.729274758963502,669.4408336075918,10.767893820953082,0.8890799329182432,35.57753817855559,107.67893820953086,8.890799329182432,355.77538178555585
11968,2020-05-12,Wales,249.0,34.0,3138631.0,90200.0,6675.0,2213.1550337130825,1400.3275749008455,3198.708971181795,70.51338732438067,44.615871534463466,101.91414572728668,705.1338732438068,446.15871534463463,1019.1414572728663
7616,2020-05-12,Scotland,394.0,27.0,5438100.0,108058.0,7355.0,1778.0770783284852,1032.9592855309027,2717.6691901337017,32.696660199858144,18.994856393426065,49.974608597372274,326.9666019985813,189.94856393426065,499.7460859737228
5440,2020-05-12,North West,1346.0,64.0,7292093.0,118927.0,8579.0,1741.412025211417,1238.6584926317212,2326.033694558716,23.880825782274265,16.986323304320464,31.89802563624348,238.8082578227426,169.86323304320464,318.98025636243483
14144,2020-05-12,Yorkshire and The Humber,1070.0,47.0,5479615.0,90902.0,6766.0,1249.621545540022,833.0477042440822,1752.7149053895926,22.80491504494425,15.202668513099587,31.986095836835123,228.0491504494425,152.0266851309959,319.8609583683512
2176,2020-05-12,England,13559.0,345.0,55977178.0,1256172.0,85678.0,7530.538778556816,4797.244443072785,10926.630295087525,13.452873202284,8.570000515339991,19.51979482618349,134.52873202284002,85.7000051533999,195.1979482618349
3264,2020-05-12,London,2138.0,44.0,8908081.0,223200.0,14105.0,809.0384507942094,529.5844321055482,1146.438822738804,9.08207335333176,5.94498896120891,12.869649734199813,90.82073353331758,59.4498896120891,128.69649734199814
8704,2020-05-12,South East,3346.0,55.0,9133625.0,293481.0,19141.0,682.5173328510209,468.7106531073653,935.1325610326213,7.472578881342523,5.1317045872516704,10.238350720908963,74.72578881342524,51.31704587251671,102.38350720908964
13056,2020-05-12,West Midlands,889.0,18.0,5900757.0,83516.0,5955.0,603.7654397787187,296.99117585609054,1022.8997162421483,10.231999721031023,5.033102970620388,17.335059149904804,102.31999721031023,50.33102970620388,173.35059149904805
