,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
0,2020-05-12,East Midlands,975.0,25.0,4804149.0,85480.0,6041.0,611.804812901481,343.00772326432303,961.6978768431272,12.734925850582089,7.1398227503835345,20.01806931556717,127.3492585058209,71.39822750383533,200.18069315567172
5745,2020-05-12,North West,1346.0,64.0,7292093.0,118898.0,8579.0,1740.9288810605474,1238.3147864120058,2325.3867594910807,23.874200192736808,16.981609894607846,31.889153902604928,238.74200192736814,169.81609894607843,318.8915390260494
14937,2020-05-12,Yorkshire and The Humber,1070.0,47.0,5479615.0,90885.0,6765.0,1249.0192225864819,832.6460014310459,1751.869733075341,22.793922977918733,15.195337654763078,31.970671900769318,227.9392297791874,151.95337654763074,319.70671900769315
4596,2020-05-12,North East,505.0,21.0,2657909.0,40517.0,3170.0,609.475773734738,322.66545677331317,987.2555460122052,22.93064863148957,12.139823326280668,37.14406874020913,229.3064863148957,121.39823326280668,371.44068740209127
9192,2020-05-12,South East,3345.0,55.0,9133625.0,293407.0,19137.0,682.3949155857616,468.62690973441636,934.9644819116628,7.471238589122738,5.130787718287277,10.236510497328963,74.71238589122738,51.30787718287277,102.36510497328965
12639,2020-05-12,Wales,248.0,34.0,3138631.0,90188.0,6674.0,2220.8472204440013,1405.26626896392,3208.9420747551417,70.75846827626444,44.773223388283604,102.24018289359728,707.5846827626443,447.73223388283617,1022.4018289359727
8043,2020-05-12,Scotland,394.0,27.0,5438100.0,108041.0,7354.0,1777.1882964469796,1032.4419282814756,2716.3120894994336,32.68031658937827,18.98534282711748,49.949653178489434,326.8031658937827,189.8534282711748,499.49653178489433
3447,2020-05-12,London,2138.0,44.0,8908081.0,223140.0,14099.0,808.4901471152899,529.226220105777,1145.6636304607955,9.075918226555078,5.940967758440645,12.860947609937492,90.7591822655508,59.40967758440645,128.60947609937492
13788,2020-05-12,West Midlands,889.0,18.0,5900757.0,83502.0,5953.0,603.3492239102052,296.785511630098,1022.1974890980119,10.22494611979794,5.0296175834744234,17.32315852183054,102.24946119797941,50.296175834744254,173.23158521830536
6894,2020-05-12,Northern Ireland,101.0,2.0,1881639.0,14226.0,908.0,202.31303364533585,16.704546250662716,668.4641377288358,10.751957928451517,0.8877657324631725,35.52563152277539,107.51957928451515,8.877657324631725,355.25631522775393
2298,2020-05-12,England,13558.0,345.0,55977178.0,1255849.0,85660.0,7527.554260155491,4795.428723664922,10922.161103616303,13.44754153229284,8.566756837339891,19.511810873381837,134.4754153229284,85.66756837339892,195.1181087338184
11490,2020-05-12,UK,14301.0,408.0,66435548.0,1468304.0,100596.0,11727.902810691807,7249.84146716098,17515.879405599713,243.74600796286128,144.9416013590631,379.24494969557276,2437.460079628613,1449.416013590631,3792.449496955728
1149,2020-05-12,East of England,1714.0,46.0,6201214.0,161030.0,11008.0,793.6125563072313,524.785520749889,1116.9670910725563,12.797696649514615,8.462625556058683,18.012071363325898,127.97696649514614,84.62625556058684,180.12071363325896
10341,2020-05-12,South West,1576.0,25.0,5599735.0,158990.0,10908.0,428.47872695375366,239.37059356405285,676.1584956515243,7.6517679310494815,4.274677168902687,12.074830249137225,76.51767931049481,42.746771689026865,120.74830249137224
13789,2020-05-13,West Midlands,927.0,20.0,5900757.0,86051.0,6173.0,642.3747176407717,328.98906108523784,1062.5926231039473,10.886310309690291,5.5753704327298665,18.007733975555123,108.86310309690292,55.753704327298664,180.07733975555126
10342,2020-05-13,South West,1693.0,25.0,5599735.0,164528.0,11408.0,401.3204810354445,223.94446007713654,632.5113871576535,7.1667763034401535,3.99919746340026,11.295380712795401,71.66776303440153,39.9919746340026,112.95380712795401
