,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
0,2020-05-12,East Midlands,975.0,25.0,4804149.0,85476.0,6039.0,611.6351581981795,342.91158146110394,961.4317067634064,12.731394430068253,7.137821525958165,20.012528894574388,127.31394430068251,71.37821525958165,200.12528894574388
2308,2020-05-12,England,13558.0,345.0,55977178.0,1255831.0,85656.0,7527.3044346472925,4795.2959774655565,10921.756583173685,13.447095233431188,8.566519693910893,19.511088220941907,134.4709523343119,85.66519693910892,195.11088220941903
11540,2020-05-12,UK,14301.0,408.0,66435548.0,1468284.0,100592.0,11727.706911429155,7249.738948618301,17515.560414972333,243.74230513263203,144.93961374855724,379.23903673793313,2437.42305132632,1449.3961374855726,3792.390367379331
5770,2020-05-12,North West,1346.0,64.0,7292093.0,118898.0,8579.0,1740.940984182683,1238.323395307673,2325.402925826345,23.87436616870743,16.981727952560036,31.889375599383396,238.74366168707436,169.81727952560033,318.893755993834
8078,2020-05-12,Scotland,394.0,27.0,5438100.0,108038.0,7354.0,1777.2500008998206,1032.477839257536,2716.406202644737,32.68145125870838,18.986003185993933,49.9513838039892,326.8145125870838,189.8600318599393,499.513838039892
6924,2020-05-12,Northern Ireland,101.0,2.0,1881639.0,14226.0,908.0,202.31444014699275,16.704662382439086,668.4687849623842,10.75203267720284,0.8877719043046559,35.52587850073177,107.52032677202841,8.877719043046561,355.25878500731767
15002,2020-05-12,Yorkshire and The Humber,1070.0,47.0,5479615.0,90885.0,6765.0,1249.0279059005245,832.6517900743158,1751.881912259439,22.794081443687638,15.195443294361295,31.970894164269556,227.94081443687642,151.95443294361297,319.7089416426956
1154,2020-05-12,East of England,1714.0,46.0,6201214.0,161027.0,11008.0,793.6328589422724,524.798964199977,1116.9956648229677,12.798024047263524,8.462842343450443,18.01253214004496,127.98024047263523,84.62842343450444,180.1253214004496
4616,2020-05-12,North East,505.0,21.0,2657909.0,40517.0,3170.0,609.480010874927,322.66769997777413,987.2624095174193,22.93080804778971,12.139907723619366,37.144326969712615,229.3080804778971,121.39907723619362,371.4432696971263
12694,2020-05-12,Wales,248.0,34.0,3138631.0,90189.0,6674.0,2220.8380357350493,1405.2604695127707,3208.9288441915296,70.7581756420251,44.77303861182696,102.23976135428249,707.5817564202508,447.7303861182697,1022.3976135428247
13848,2020-05-12,West Midlands,889.0,18.0,5900757.0,83501.0,5952.0,603.2592952053095,296.7407695399085,1022.0466419944446,10.223422100000214,5.0288593402492,17.32060211926105,102.23422100000212,50.288593402492,173.20602119261048
10386,2020-05-12,South West,1576.0,25.0,5599735.0,158989.0,10908.0,428.484400823912,239.3737655174476,676.1674495013592,7.651869254954241,4.274733813608101,12.074990146879436,76.51869254954241,42.74733813608101,120.74990146879438
9232,2020-05-12,South East,3345.0,55.0,9133625.0,293403.0,19138.0,682.4446204393281,468.6610009620163,935.0323873089619,7.471782785469384,5.131160967983866,10.237253963338343,74.71782785469384,51.31160967983866,102.37253963338344
3462,2020-05-12,London,2138.0,44.0,8908081.0,223135.0,14097.0,808.3992000801576,529.1670104253386,1145.53548517934,9.074897276755316,5.940303084641223,12.85950908146592,90.74897276755314,59.40303084641223,128.5950908146592
9233,2020-05-13,South East,3420.0,57.0,9133625.0,298681.0,19496.0,689.3273662014287,476.2852299322286,939.3781546027001,7.547138909265804,5.214635261818048,10.284833837635112,75.47138909265804,52.146352618180465,102.84833837635112
11541,2020-05-13,UK,14783.0,402.0,66435548.0,1500885.0,102709.0,11094.698997738913,6826.625165574802,16616.900005705138,232.56249193841734,137.9026110349671,362.3275042502484,2325.624919384173,1379.0261103496712,3623.2750425024838
1155,2020-05-13,East of England,1726.0,42.0,6201214.0,164307.0,11158.0,712.2892389681813,461.01470126492296,1017.048475238526,11.486287023285785,7.434265311033018,16.400796283413634,114.86287023285784,74.34265311033019,164.00796283413638
1,2020-05-13,East Midlands,1047.0,28.0,4804149.0,87968.0,6260.0,638.4471656613007,370.43960106639435,981.2227006775084,13.289495510262078,7.71082664310358,20.424485183067976,132.8949551026208,77.10826643103582,204.24485183067975
2309,2020-05-13,England,14016.0,341.0,55977178.0,1284230.0,87701.0,7209.628351321554,4573.649920785723,10481.436409676031,12.879585232613108,8.170561797141191,18.72448162655865,128.79585232613107,81.70561797141191,187.24481626558648
12695,2020-05-13,Wales,254.0,35.0,3138631.0,91991.0,6737.0,2198.5247563587327,1401.0443078546307,3161.368306538159,70.0472516953644,44.6387073808495,100.7244338865626,700.472516953644,446.3870738084951,1007.2443388656261
13849,2020-05-13,West Midlands,927.0,20.0,5900757.0,86050.0,6172.0,642.2778072193478,328.9392794934697,1062.4327993292054,10.884667970895052,5.574526785181456,18.0050254455353,108.84667970895052,55.74526785181457,180.05025445535298
6925,2020-05-13,Northern Ireland,106.0,2.0,1881639.0,14483.0,913.0,189.63097383480078,15.625390969896774,629.1482274012236,10.077967869224693,0.8304138556809659,33.43618129732769,100.77967869224692,8.30413855680966,334.3618129732768
10387,2020-05-13,South West,1693.0,25.0,5599735.0,164527.0,11408.0,401.32272203715536,223.9457114916037,632.5149158022772,7.1668163232216395,3.999219811144701,11.295443727288475,71.6681632322164,39.992198111447,112.95443727288472
8079,2020-05-13,Scotland,407.0,24.0,5438100.0,110181.0,7358.0,1496.9149162238266,836.3055459645502,2344.947062089722,27.52643232422769,15.378634926988287,43.12070506407977,275.264323242277,153.78634926988292,431.20705064079766
5771,2020-05-13,North West,1405.0,67.0,7292093.0,122626.0,8805.0,1729.2097672345496,1240.2944393013524,2296.0298632130803,23.71349031388587,17.008757832646296,31.48656857795259,237.13490313885868,170.08757832646296,314.86568577952585
15003,2020-05-13,Yorkshire and The Humber,1077.0,42.0,5479615.0,93478.0,6872.0,1091.5295221028828,708.2674498802463,1559.0702192025205,19.91982141268835,12.925496588359694,28.452185403582554,199.1982141268835,129.25496588359695,284.5218540358255
3463,2020-05-13,London,2227.0,39.0,8908081.0,224653.0,14273.0,689.6060068139574,438.47264570923625,996.8530227993942,7.741353124359303,4.9221897029139745,11.190435098192241,77.41353124359301,49.221897029139754,111.90435098192239
4617,2020-05-13,North East,494.0,21.0,2657909.0,41940.0,3257.0,615.6187550827499,325.9908626462696,996.8862588108198,23.16176946173665,12.26493693524758,37.50641044561043,231.61769461736645,122.64936935247576,375.0641044561043
