,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
0,2020-05-12,East Midlands,975.0,25.0,4804149.0,85473.0,6039.0,611.6654449287131,342.928563982286,961.4793155668096,12.732024858694286,7.138175022928847,20.0135198880553,127.32024858694288,71.38175022928847,200.13519888055302
11570,2020-05-12,UK,14301.0,408.0,66435548.0,1468258.0,100590.0,11727.850450917887,7249.831367728515,17515.782551292374,243.74547235374558,144.94129682096212,379.2450162820743,2437.454723537456,1449.4129682096213,3792.450162820743
10413,2020-05-12,South West,1576.0,25.0,5599735.0,158987.0,10907.0,428.4566891523188,239.35815185111028,676.1236063766446,7.651374380257616,4.274454984943222,12.074207196887794,76.51374380257616,42.74454984943221,120.74207196887792
13884,2020-05-12,West Midlands,889.0,18.0,5900757.0,83502.0,5952.0,603.260768764979,296.7414873515672,1022.0491463858153,10.223447072383749,5.028871504987702,17.320644561126908,102.23447072383749,50.28871504987703,173.20644561126906
3471,2020-05-12,London,2138.0,44.0,8908081.0,223132.0,14098.0,808.4790687481595,529.2190969412088,1145.6482464156286,9.07579386343882,5.940887795488264,12.86077491230298,90.7579386343882,59.40887795488264,128.6077491230298
4628,2020-05-12,North East,505.0,21.0,2657909.0,40518.0,3170.0,609.4737565849867,322.664380127865,987.25224140129,22.93057273913391,12.139782819045534,37.14394440898052,229.3057273913391,121.39782819045536,371.43944408980525
1157,2020-05-12,East of England,1714.0,46.0,6201214.0,161026.0,11008.0,793.6492305318048,524.8097961366236,1117.0187065837072,12.798288053465091,8.463017017903649,18.012903708591693,127.98288053465092,84.6301701790365,180.1290370859169
12727,2020-05-12,Wales,248.0,34.0,3138631.0,90188.0,6674.0,2220.8946813735347,1405.2963004054136,3209.0106519054675,70.75998043011538,44.77418022078458,102.24236783188171,707.5998043011539,447.74180220784586,1022.4236783188173
9256,2020-05-12,South East,3345.0,55.0,9133625.0,293396.0,19137.0,682.4350836314973,468.6544924147768,935.0194742546423,7.4716783711997925,5.131089708793353,10.237112584046775,74.71678371199793,51.31089708793353,102.37112584046776
15041,2020-05-12,Yorkshire and The Humber,1070.0,47.0,5479615.0,90884.0,6765.0,1249.0596580884414,832.6729502576642,1751.9264493931696,22.794660903885433,15.195829456223919,31.971706942790128,227.9466090388543,151.9582945622392,319.7170694279013
5785,2020-05-12,North West,1346.0,64.0,7292093.0,118896.0,8579.0,1740.9953711445205,1238.362077196947,2325.475461600539,23.87511200343332,16.982258416026056,31.89037031755545,238.75112003433318,169.82258416026056,318.9037031755545
8099,2020-05-12,Scotland,394.0,27.0,5438100.0,108031.0,7353.0,1777.1491192574526,1032.4179916660337,2716.2540136019024,32.67959616883568,18.98490266207009,49.948585233848256,326.79596168835684,189.84902662070093,499.4858523384826
6942,2020-05-12,Northern Ireland,101.0,2.0,1881639.0,14225.0,908.0,202.33157871147816,16.706079397018662,668.5252378067544,10.752943508902511,0.8878472117669044,35.52887869600675,107.52943508902511,8.878472117669045,355.28878696006745
2314,2020-05-12,England,13558.0,345.0,55977178.0,1255814.0,85655.0,7527.475071575423,4795.41099626005,10921.992647978248,13.447400066461768,8.56672516835352,19.511509937100165,134.4740006646177,85.6672516835352,195.1150993710017
2315,2020-05-13,England,14016.0,341.0,55977178.0,1284210.0,87700.0,7209.796422171764,4573.76139554618,10481.672203619897,12.879885481493485,8.170760940371414,18.724902858839894,128.79885481493486,81.70760940371412,187.24902858839897
6943,2020-05-13,Northern Ireland,106.0,2.0,1881639.0,14482.0,913.0,189.6468979753831,15.62670485467033,629.2010149393574,10.078814160175417,0.830483682293486,33.43898669932741,100.78814160175415,8.30483682293486,334.3898669932741
8100,2020-05-13,Scotland,407.0,24.0,5438100.0,110175.0,7357.0,1496.8153477057376,836.2502214790468,2344.791373674757,27.524601381102553,15.377617577445188,43.117842144770364,275.2460138110255,153.77617577445187,431.1784214477037
10414,2020-05-13,South West,1693.0,25.0,5599735.0,164524.0,11407.0,401.3008529490282,223.9335261473357,632.4805445339862,7.166425785309987,3.9990022054139303,11.294829925594444,71.66425785309987,39.990022054139295,112.94829925594445
