,lad16cd,lad16nm,respondent,population,active_cases,percentage
0,E06000001,Hartlepool,314,92455.0,463.55805758468165,
1,E06000002,Middlesbrough,507,139659.0,3003.9325015659774,
2,E06000003,Redcar and Cleveland,670,135423.0,5456.253693949163,
3,E06000004,Stockton-on-Tees,1140,195746.0,12527.898555156311,6.400078956993404
4,E06000005,Darlington,871,105508.0,3965.3424939349193,3.758333485550782
5,E06000006,Halton,576,127674.0,2874.8453102892054,
6,E06000007,Warrington,1866,207992.0,3731.717259148747,1.7941638424308373
7,E06000008,Blackburn with Darwen,414,148166.0,2014.605173438581,
8,E06000009,Blackpool,501,137963.0,2076.8694242291267,
9,E06000010,"Kingston upon Hull, City of",749,259149.0,8051.332274537819,
10,E06000011,East Riding of Yorkshire,3027,336031.0,10645.736351977906,3.168081621034341
11,E06000012,North East Lincolnshire,678,158300.0,4225.824675205623,
12,E06000013,North Lincolnshire,906,170405.0,7957.638240567387,4.669838467514091
13,E06000014,York,3020,207799.0,6530.201365001757,3.142556684585468
14,E06000015,Derby,1527,254921.0,9798.841508190755,3.843873791563172
15,E06000016,Leicester,931,353020.0,17382.887479895326,4.924051747746678
16,E06000017,Rutland,788,39207.0,1123.7113061184482,2.8660986714577708
17,E06000018,Nottingham,1429,329068.0,13499.841134336457,4.102447255380789
18,E06000019,"Herefordshire, County of",2240,189824.0,9311.726918910741,4.905452903168588
19,E06000020,Telford and Wrekin,1056,176740.0,8700.976674869344,4.923037611672141
20,E06000021,Stoke-on-Trent,755,254230.0,15348.817981161083,6.037374810667932
21,E06000022,Bath and North East Somerset,3580,190096.0,7206.573233951768,3.7910178193921853
22,E06000023,"Bristol, City of",6477,459940.0,21573.873459328133,4.6905843065026165
23,E06000024,North Somerset,3481,211262.0,7674.780649590463,3.632825898453325
24,E06000025,South Gloucestershire,3487,280179.0,9912.929204030455,3.5380700209617624
25,E06000026,Plymouth,1956,260815.0,7823.172775185405,2.9995102947243852
26,E06000027,Torbay,1141,133799.0,7336.134475591789,5.482951648062982
27,E06000028,Bournemouth,1961,191895.0,5866.976624834932,3.057389001711839
28,E06000029,Poole,2041,149527.0,9213.605148818073,6.161833748298349
29,E06000030,Swindon,1888,220365.0,5835.757540633618,2.648223420522142
30,E06000031,Peterborough,1256,199601.0,11299.932952437543,5.661260691297911
31,E06000040,Windsor and Maidenhead,2641,149214.0,7927.646697538065,5.312937591337318
32,E06000041,Wokingham,3352,166550.0,7532.72412046558,4.522800432582156
33,E06000042,Milton Keynes,2587,266983.0,8163.205377280629,3.0575749681742392
34,E06000043,Brighton and Hove,4939,287939.0,17200.95332330494,5.973818525210181
35,E06000044,Portsmouth,1798,213493.0,11247.392425008253,5.268272226727927
36,E06000032,Luton,598,212818.0,7374.746229707573,
37,E06000033,Southend-on-Sea,1624,180319.0,9381.858660807977,5.202922964750235
38,E06000034,Thurrock,760,171548.0,3618.3458795364936,2.1092323312055483
39,E06000035,Medway,1780,276085.0,12134.812270021474,4.395317481942689
40,E06000036,Bracknell Forest,1688,120850.0,2836.2134959294212,2.346887460429807
41,E06000037,West Berkshire,2752,157215.0,7595.34661925651,4.831184441215221
42,E06000045,Southampton,1894,250992.0,11896.752714233791,4.739893189517511
43,E06000046,Isle of Wight,1601,139483.0,6196.248569893506,4.442296602376997
44,E06000047,County Durham,3295,522842.0,22866.106123342455,4.373425647392989
45,E06000049,Cheshire East,5238,376355.0,13273.48011500118,3.526851009021052
46,E06000050,Cheshire West and Chester,4198,337053.0,19361.57191947513,5.744370149345987
47,E06000051,Shropshire,3987,316547.0,11916.135299098894,3.7644126461785747
48,E06000052,Cornwall,7586,558138.0,16944.59466424105,3.0359148927758097
49,E06000053,Isles of Scilly,53,2198.0,6.839248094070054,
50,E06000054,Wiltshire,7849,492707.0,20667.533046913573,4.19469036301769
51,E06000055,Bedford,1812,170018.0,6949.711328316357,4.087632679078896
52,E06000056,Central Bedfordshire,3495,281466.0,12611.650107709655,4.480701082087945
53,E06000057,Northumberland,3451,316927.0,10770.911843225434,3.3985466190086155
54,E07000004,Aylesbury Vale,3159,197870.0,6221.862561025294,3.144419346553441
55,E07000005,Chiltern,2583,94685.0,3908.7657149107285,4.128178396695072
56,E07000006,South Bucks,1308,69086.0,2439.658751564836,3.5313359458715747
57,E07000007,Wycombe,3102,173011.0,6189.199359003072,3.5773444226107425
58,E07000090,Havant,1608,124268.0,4061.2995185540526,3.268178065595369
59,E07000091,New Forest,3313,176403.0,6063.400880513589,3.4372436299346316
60,E07000092,Rushmoor,964,94455.0,5802.660872232889,6.143307259788141
61,E07000093,Test Valley,2150,123800.0,3700.645774130001,2.989213064725364
62,E07000094,Winchester,3024,122695.0,4021.691737802659,3.277795947514291
63,E07000095,Broxbourne,762,96108.0,2007.5395173590941,2.08883705556155
64,E07000096,Dacorum,2590,152766.0,8801.69374606953,5.761552797133871
65,E07000098,Hertsmere,1405,103039.0,3250.924905312868,3.1550431441617914
66,E07000099,North Hertfordshire,2759,131868.0,7934.989225388802,6.017372846626022
67,E07000102,Three Rivers,1553,92016.0,3397.1884173866397,3.691954026893844
68,E07000130,Charnwood,1686,181127.0,5096.1664309848575,2.813587389502867
69,E07000131,Harborough,1378,91548.0,2770.8678770015335,3.0266831356245176
70,E07000132,Hinckley and Bosworth,1005,111432.0,1920.6962412980638,1.7236487196658625
71,E06000038,Reading,1727,162111.0,5023.334649255213,3.0987006737699554
72,E06000039,Slough,392,148414.0,3682.984252946258,
73,E07000008,Cambridge,2821,124629.0,6960.952011752251,5.585338895242882
74,E07000009,East Cambridgeshire,1538,88468.0,4775.992660751938,5.398553896043698
75,E07000010,Fenland,682,100323.0,4969.385948546784,
76,E07000011,Huntingdonshire,2685,175785.0,6726.723378867875,3.8266765531005915
77,E07000012,South Cambridgeshire,3808,155935.0,5567.540980819024,3.5704242029172564
78,E07000026,Allerdale,966,96417.0,1621.2940018869579,1.6815437131283466
79,E07000027,Barrow-in-Furness,347,66582.0,580.3347984360909,
80,E07000028,Carlisle,916,107241.0,2303.4991166505806,2.147964972958645
81,E07000029,Copeland,614,67821.0,4321.117093132073,
82,E07000030,Eden,776,52161.0,1109.5049564022024,2.1270776181480464
83,E07000031,South Lakeland,1862,102975.0,2770.404626464711,2.6903662310897896
84,E07000032,Amber Valley,1200,125406.0,4797.196289781168,3.8253323523445197
85,E07000033,Bolsover,350,78912.0,2789.7583930823607,
86,E07000034,Chesterfield,828,103581.0,2928.9873002045515,2.8277264172044596
87,E07000035,Derbyshire Dales,1429,71085.0,1920.9390892024549,2.702312849690448
88,E07000036,Erewash,873,114333.0,5151.925257748972,4.506070213979317
89,E07000037,High Peak,1361,91427.0,3514.851379522437,3.844434772575319
90,E07000038,North East Derbyshire,891,100154.0,4483.766753963935,4.476872370513345
91,E07000039,South Derbyshire,988,103746.0,2548.711086616734,2.4566837146653695
92,E07000040,East Devon,2584,141671.0,5498.237631889666,3.880990203986466
93,E07000041,Exeter,1757,129056.0,6946.38171396609,5.38245545651972
94,E07000042,Mid Devon,1152,80750.0,1293.7981929988266,1.6022268643948316
95,E07000043,North Devon,1046,94811.0,3665.874058463786,3.86650711253313
96,E07000044,South Hams,1979,83589.0,3080.6450335516392,3.685467027421837
97,E07000045,Teignbridge,2078,130814.0,4252.969078877968,3.251157428775183
98,E07000046,Torridge,816,67336.0,1850.6743141662303,2.748417360945453
99,E07000047,West Devon,927,54781.0,2285.0943150022354,4.171326399668198
100,E07000048,Christchurch,729,49088.0,915.6237019287822,
101,E07000049,East Dorset,1451,88243.0,2209.296316548131,2.5036505066103043
102,E07000050,North Dorset,1279,69869.0,2774.4050401880863,3.9708669655900133
103,E07000051,Purbeck,931,46510.0,753.2058125951311,1.619449177800755
104,E07000052,West Dorset,2332,101059.0,4194.303332481847,4.150351114182653
105,E07000053,Weymouth and Portland,978,65087.0,2914.763573666743,4.478257676136161
106,E07000061,Eastbourne,1309,101271.0,4013.1808488400925,3.9628134893899465
107,E07000062,Hastings,1002,91718.0,2265.718559066499,2.470309600151005
108,E07000063,Lewes,2056,101046.0,4899.142082711318,4.848427530739779
109,E07000064,Rother,1562,93772.0,5418.803976726977,5.778701506555238
110,E07000065,Wealden,2746,157949.0,9031.078358113682,5.71771797106261
111,E07000066,Basildon,1548,184407.0,4765.389485922973,2.5841695195534733
112,E07000067,Braintree,1662,150001.0,5312.476442185024,3.541627350607679
113,E07000068,Brentwood,1169,75568.0,2133.4675210310397,2.823242008563201
114,E07000069,Castle Point,768,89195.0,2054.9631671288275,2.3038995090855177
