date,region,active_cases
2020-07-01,East Midlands,3353.786362490685
2020-07-01,East of England,1930.0695294232291
2020-07-01,London,2790.5963455268993
2020-07-01,North East,816.9513438712512
2020-07-01,North West,4076.5202126975105
2020-07-01,Northern Ireland,572.7938576124047
2020-07-01,Scotland,2895.3869238165457
2020-07-01,South East,2702.835808265521
2020-07-01,South West,1175.7637422906319
2020-07-01,Wales,5985.839770075087
2020-07-01,West Midlands,2990.076277151363
2020-07-01,Yorkshire and The Humber,3019.011706307972
2020-07-02,East Midlands,3185.222892753889
2020-07-02,East of England,1849.1763587958003
2020-07-02,London,2751.381382980794
2020-07-02,North East,873.034411341104
2020-07-02,North West,4001.1344675376085
2020-07-02,Northern Ireland,564.4209617004129
2020-07-02,Scotland,2783.469848473737
2020-07-02,South East,2687.6459112184007
2020-07-02,South West,1190.9646932413439
2020-07-02,Wales,5658.413736937782
2020-07-02,West Midlands,3052.4138550467655
2020-07-02,Yorkshire and The Humber,2909.3142907115234
2020-07-03,East Midlands,3221.443792648113
2020-07-03,East of England,1761.0091815573978
2020-07-03,London,2649.0000975396865
2020-07-03,North East,878.0231675667869
2020-07-03,North West,3903.277595896101
2020-07-03,Northern Ireland,560.2548215539077
2020-07-03,Scotland,2590.4626501160674
2020-07-03,South East,2637.2733904544816
2020-07-03,South West,1197.8497476994667
2020-07-03,Wales,5345.113183129165
2020-07-03,West Midlands,2990.4315053936384
2020-07-03,Yorkshire and The Humber,2842.1913023204916
2020-07-04,East Midlands,3089.761624188416
2020-07-04,East of England,1674.035885402599
2020-07-04,London,2526.1310785218875
2020-07-04,North East,722.1314277723094
2020-07-04,North West,3843.720640274959
2020-07-04,Northern Ireland,555.46616118389
2020-07-04,Scotland,2397.861772263536
2020-07-04,South East,2529.3778469877407
2020-07-04,South West,1208.9061350864326
2020-07-04,Wales,5051.3695167274245
2020-07-04,West Midlands,3058.16959087298
2020-07-04,Yorkshire and The Humber,2932.290253535511
2020-07-05,East Midlands,2997.6956244002326
2020-07-05,East of England,1591.8398928751733
2020-07-05,London,2438.011541660654
2020-07-05,North East,742.5183569753995
2020-07-05,North West,3795.133203149832
2020-07-05,Northern Ireland,546.884377308466
2020-07-05,Scotland,2209.9165302501838
2020-07-05,South East,2451.28550545904
2020-07-05,South West,1239.521381546477
2020-07-05,Wales,4790.744618625494
2020-07-05,West Midlands,3099.2897585030423
2020-07-05,Yorkshire and The Humber,2836.2240571309353
2020-07-06,East Midlands,3108.847045826652
2020-07-06,East of England,1518.2298726571373
2020-07-06,London,2355.312946343806
2020-07-06,North East,767.5990108339978
2020-07-06,North West,3727.0883318774213
2020-07-06,Northern Ireland,540.4170359331156
2020-07-06,Scotland,2032.302407477043
2020-07-06,South East,2371.0429270802297
2020-07-06,South West,1268.6204411756253
2020-07-06,Wales,4519.036477871368
2020-07-06,West Midlands,2890.2832425933093
2020-07-06,Yorkshire and The Humber,2699.2943270123037
2020-07-07,East Midlands,3148.274299173465
2020-07-07,East of England,1438.5836927926612
2020-07-07,London,2291.940401361906
2020-07-07,North East,785.9481699316801
2020-07-07,North West,3679.491866542143
2020-07-07,Northern Ireland,533.503761027844
2020-07-07,Scotland,1933.3138592687083
2020-07-07,South East,2276.303061338146
2020-07-07,South West,1275.3488882476495
2020-07-07,Wales,4290.704596749808
2020-07-07,West Midlands,2776.2750142081736
2020-07-07,Yorkshire and The Humber,2609.925019668441
2020-07-08,East Midlands,2970.010104034907
2020-07-08,East of England,1376.652699891958
2020-07-08,London,2243.2898908589914
2020-07-08,North East,663.1480755586956
2020-07-08,North West,3668.612283163171
2020-07-08,Northern Ireland,532.9950387736473
2020-07-08,Scotland,1840.647962325999
2020-07-08,South East,2211.677853246486
2020-07-08,South West,1293.077548297043
2020-07-08,Wales,4093.76728679286
2020-07-08,West Midlands,2871.1949698033964
2020-07-08,Yorkshire and The Humber,2641.43948974903
2020-07-09,East Midlands,2820.967949994117
2020-07-09,East of England,1328.726196000208
2020-07-09,London,2219.575614583716
2020-07-09,North East,496.968557433686
2020-07-09,North West,3686.7906906754934
2020-07-09,Northern Ireland,533.5378506129011
2020-07-09,Scotland,1762.6773526151553
2020-07-09,South East,2151.2575839546516
2020-07-09,South West,1292.1887837646184
2020-07-09,Wales,3906.8168494583724
2020-07-09,West Midlands,2918.231877120846
2020-07-09,Yorkshire and The Humber,2754.4078781501694
2020-07-10,East Midlands,2565.5718557671225
2020-07-10,East of England,1305.744108533089
2020-07-10,London,2258.9091935218935
2020-07-10,North East,532.6230453015424
2020-07-10,North West,3663.6331489531894
2020-07-10,Northern Ireland,540.211494577661
2020-07-10,Scotland,1709.783271214892
2020-07-10,South East,2125.343293076723
2020-07-10,South West,1284.4277772945607
2020-07-10,Wales,3738.786698417224
2020-07-10,West Midlands,3088.603580565801
2020-07-10,Yorkshire and The Humber,2681.3149525151425
2020-07-11,East Midlands,2494.647220488859
2020-07-11,East of England,1326.816325576814
2020-07-11,London,2306.621481084548
2020-07-11,North East,1042.214842470132
2020-07-11,North West,3729.577220873125
2020-07-11,Northern Ireland,548.555331697274
2020-07-11,Scotland,1684.8967281541813
2020-07-11,South East,2145.5303925857816
2020-07-11,South West,1281.827841672693
2020-07-11,Wales,3601.7658951306703
2020-07-11,West Midlands,3108.220110835265
2020-07-11,Yorkshire and The Humber,2139.2696205439056
2020-07-12,East Midlands,2605.074708384959
2020-07-12,East of England,1327.2206751259648
2020-07-12,London,2346.169158048224
2020-07-12,North East,1044.6976754815353
2020-07-12,North West,3759.662420082061
2020-07-12,Northern Ireland,0.0
2020-07-12,Scotland,1663.1032672029262
2020-07-12,South East,2157.563491435757
2020-07-12,South West,1292.155776962233
2020-07-12,Wales,3509.1823171540636
2020-07-12,West Midlands,2961.495857630285
2020-07-12,Yorkshire and The Humber,2113.638256095294
2020-07-13,East Midlands,2439.7122302770226
2020-07-13,East of England,1314.4376767492306
2020-07-13,London,2376.697317112093
2020-07-13,North East,977.8768963976214
2020-07-13,North West,3749.829911086151
2020-07-13,Northern Ireland,560.568343318719
2020-07-13,Scotland,1714.5411923240151
2020-07-13,South East,2166.253905372362
2020-07-13,South West,1316.9196150912762
2020-07-13,Wales,3445.4272748909248
2020-07-13,West Midlands,3102.8229093184236
2020-07-13,Yorkshire and The Humber,2192.2086940753175
2020-07-14,East Midlands,2169.4289522169415
2020-07-14,East of England,1338.6203549714196
2020-07-14,London,2418.172764967557
2020-07-14,North East,977.7726623672328
2020-07-14,North West,3793.9855198539194
2020-07-14,Northern Ireland,564.7323707079972
2020-07-14,Scotland,1696.1607918675002
2020-07-14,South East,2207.8514932062462
2020-07-14,South West,1354.5533481122575
2020-07-14,Wales,3442.8650226138116
2020-07-14,West Midlands,3303.7187454446243
2020-07-14,Yorkshire and The Humber,2212.4730262153953
2020-07-15,East Midlands,1972.8373222333178
2020-07-15,East of England,1349.4274203921982
2020-07-15,London,2499.8641519278576
2020-07-15,North East,733.6995872744876
