date,region,active_cases
2020-07-01,East Midlands,2808.1643744417815
2020-07-01,East of England,1863.648927768456
2020-07-01,London,2582.9033131415954
2020-07-01,North East,1007.371685647378
2020-07-01,North West,4042.756112330618
2020-07-01,Northern Ireland,565.8209331401562
2020-07-01,Scotland,2779.6559829286407
2020-07-01,South East,2714.0650473766336
2020-07-01,South West,1225.1289623345654
2020-07-01,Wales,5649.066796734183
2020-07-01,West Midlands,3485.9350802171625
2020-07-01,Yorkshire and The Humber,2815.6820360564816
2020-07-02,East Midlands,2812.2480640920385
2020-07-02,East of England,1775.2049800336026
2020-07-02,London,2488.4697524869002
2020-07-02,North East,1081.626773156741
2020-07-02,North West,3943.419361674659
2020-07-02,Northern Ireland,560.2587626230877
2020-07-02,Scotland,2586.642150832691
2020-07-02,South East,2663.1500218931506
2020-07-02,South West,1228.581282980072
2020-07-02,Wales,5339.010994849289
2020-07-02,West Midlands,3454.432011840825
2020-07-02,Yorkshire and The Humber,2677.1982267242233
2020-07-03,East Midlands,2767.8560156427275
2020-07-03,East of England,1687.914469291693
2020-07-03,London,2374.574445892861
2020-07-03,North East,1137.0426202065087
2020-07-03,North West,3882.527158829529
2020-07-03,Northern Ireland,554.1899168556413
2020-07-03,Scotland,2394.0780541644344
2020-07-03,South East,2554.420763912606
2020-07-03,South West,1236.6832821202934
2020-07-03,Wales,5047.13069999743
2020-07-03,West Midlands,3433.3879651340203
2020-07-03,Yorkshire and The Humber,2553.8516149873167
2020-07-04,East Midlands,2718.9199258014587
2020-07-04,East of England,1605.090789237709
2020-07-04,London,2296.357864827684
2020-07-04,North East,1154.6252314716478
2020-07-04,North West,3831.8375538849414
2020-07-04,Northern Ireland,544.9013963389275
2020-07-04,Scotland,2206.55355546855
2020-07-04,South East,2475.4448043890916
2020-07-04,South West,1264.5529373618324
2020-07-04,Wales,4787.760441884304
2020-07-04,West Midlands,3429.446051851698
2020-07-04,Yorkshire and The Humber,2458.422354092208
2020-07-05,East Midlands,2621.2892872630077
2020-07-05,East of England,1530.9262341744409
2020-07-05,London,2224.6370246866227
2020-07-05,North East,1172.5124038506435
2020-07-05,North West,3761.4282950283464
2020-07-05,Northern Ireland,537.7484299049461
2020-07-05,Scotland,2029.3239729776205
2020-07-05,South East,2394.0939534534
2020-07-05,South West,1291.4499033782317
2020-07-05,Wales,4516.300358237573
2020-07-05,West Midlands,3427.216957898425
2020-07-05,Yorkshire and The Humber,2326.0218866617483
2020-07-06,East Midlands,2541.140554738019
2020-07-06,East of England,1450.6680888715869
2020-07-06,London,2173.5334637239926
2020-07-06,North East,1202.5468731740796
2020-07-06,North West,3711.281418097648
2020-07-06,Northern Ireland,530.2942403508443
2020-07-06,Scotland,1929.9916094895525
2020-07-06,South East,2298.240726699255
2020-07-06,South West,1296.2065635099589
2020-07-06,Wales,4287.818863670667
2020-07-06,West Midlands,3430.606593043169
2020-07-06,Yorkshire and The Humber,2222.4315974252504
2020-07-07,East Midlands,2448.89255805735
2020-07-07,East of England,1388.2514612510968
2020-07-07,London,2137.686673476205
2020-07-07,North East,1182.5430085114012
2020-07-07,North West,3697.665541223716
2020-07-07,Northern Ireland,529.153850274244
2020-07-07,Scotland,1837.1717728774338
2020-07-07,South East,2232.670410118376
2020-07-07,South West,1312.1475486693662
2020-07-07,Wales,4090.1152323098563
2020-07-07,West Midlands,3436.3991137248363
2020-07-07,Yorkshire and The Humber,2148.9177873947283
2020-07-08,East Midlands,2372.956644830788
2020-07-08,East of England,1339.779316651832
2020-07-08,London,2127.5689947510105
2020-07-08,North East,1178.4504469925307
2020-07-08,North West,3713.331260279946
2020-07-08,Northern Ireland,529.0793980053019
2020-07-08,Scotland,1758.947707384141
2020-07-08,South East,2171.409171299823
2020-07-08,South West,1309.46068047754
2020-07-08,Wales,3901.5327279820303
2020-07-08,West Midlands,3406.781992055068
2020-07-08,Yorkshire and The Humber,2097.350987827097
2020-07-09,East Midlands,2303.0851577742064
2020-07-09,East of England,1316.2254834020991
2020-07-09,London,2180.37094768249
2020-07-09,North East,1173.7950392112625
2020-07-09,North West,3687.9694807497835
2020-07-09,Northern Ireland,535.1481982030849
2020-07-09,Scotland,1705.7725383579243
2020-07-09,South East,2144.836718099584
2020-07-09,South West,1299.5897325334222
2020-07-09,Wales,3732.158014352597
2020-07-09,West Midlands,3387.800256072357
2020-07-09,Yorkshire and The Humber,2062.257196899879
2020-07-10,East Midlands,2248.287906101519
2020-07-10,East of England,1336.9431434618582
2020-07-10,London,2240.697696284756
2020-07-10,North East,1174.1596127438486
2020-07-10,North West,3751.573533178258
2020-07-10,Northern Ireland,543.0533675108773
2020-07-10,Scotland,1680.1264971914823
2020-07-10,South East,2164.4166519976834
2020-07-10,South West,1295.3489279300727
2020-07-10,Wales,3592.776332886894
2020-07-10,West Midlands,3388.271336522805
2020-07-10,Yorkshire and The Humber,2027.6938453757684
2020-07-11,East Midlands,2227.578885124949
2020-07-11,East of England,1336.936595466411
2020-07-11,London,2291.7046490737944
2020-07-11,North East,1166.34484971071
2020-07-11,North West,3778.930986118561
2020-07-11,Northern Ireland,549.7442474654689
2020-07-11,Scotland,1657.0695206979171
2020-07-11,South East,2175.923206680359
2020-07-11,South West,1304.4950341995407
2020-07-11,Wales,3497.708379186988
2020-07-11,West Midlands,3369.826141447571
2020-07-11,Yorkshire and The Humber,2011.2353477009117
2020-07-12,East Midlands,2186.8596757057
2020-07-12,East of England,1323.6614452133356
2020-07-12,London,2332.4560295056312
2020-07-12,North East,1152.5481982417016
2020-07-12,North West,3766.8297542392884
2020-07-12,Northern Ireland,0.0
2020-07-12,Scotland,1707.2642599921523
2020-07-12,South East,2184.0595625179994
2020-07-12,South West,1328.3484878748327
2020-07-12,Wales,3431.4282880030923
2020-07-12,West Midlands,3383.7333654315366
2020-07-12,Yorkshire and The Humber,2036.0006837412673
2020-07-13,East Midlands,2120.901555704343
2020-07-13,East of England,1347.3682265661569
2020-07-13,London,2382.800665829592
2020-07-13,North East,1137.923566636165
2020-07-13,North West,3808.716094232712
2020-07-13,Northern Ireland,559.8025667022654
2020-07-13,Scotland,1688.6510523458505
2020-07-13,South East,2225.1207218556583
2020-07-13,South West,1365.316161051198
2020-07-13,Wales,3427.1119981526344
2020-07-13,West Midlands,3377.9374871646846
2020-07-13,Yorkshire and The Humber,2069.432429953823
2020-07-14,East Midlands,2054.4409805282658
2020-07-14,East of England,1357.8774295672006
2020-07-14,London,2472.295141437416
2020-07-14,North East,1123.5277464190704
2020-07-14,North West,3861.630640441448
2020-07-14,Northern Ireland,565.4156756058383
2020-07-14,Scotland,1665.671018513408
2020-07-14,South East,2280.914938749178
2020-07-14,South West,1363.859583123435
2020-07-14,Wales,3425.2420653476265
2020-07-14,West Midlands,3359.4171519245965
2020-07-14,Yorkshire and The Humber,2135.658758789173
2020-07-15,East Midlands,2017.3270548085993
2020-07-15,East of England,1373.5691457398743
2020-07-15,London,2573.1436247574266
2020-07-15,North East,1093.5762520823198
2020-07-15,North West,3906.8437342749203
2020-07-15,Northern Ireland,569.238525021206
2020-07-15,Scotland,1653.2641346253567
2020-07-15,South East,2337.731367266861
2020-07-15,South West,1369.2998408203653
2020-07-15,Wales,3360.705003226609
2020-07-15,West Midlands,3335.574674710634
2020-07-15,Yorkshire and The Humber,2231.2610393771824
2020-07-16,East Midlands,1978.077996084313
2020-07-16,East of England,1410.3827668097313
2020-07-16,London,2688.4488232555655
2020-07-16,North East,1041.3331614204603
2020-07-16,North West,3984.675508118484
2020-07-16,Northern Ireland,569.1266889190284
2020-07-16,Scotland,1631.075872059275
2020-07-16,South East,2414.65742307899
2020-07-16,South West,1372.7655860004757
2020-07-16,Wales,3309.907013197483
2020-07-16,West Midlands,3261.5287234920725
2020-07-16,Yorkshire and The Humber,2304.820359876099
2020-07-17,East Midlands,1932.2092129237867
2020-07-17,East of England,1435.0103731862018
2020-07-17,London,2806.3973178777483
2020-07-17,North East,991.2293234823665
2020-07-17,North West,4045.287259874692
2020-07-17,Northern Ireland,572.2372942498021
2020-07-17,Scotland,1606.7855521806916
2020-07-17,South East,2493.443226395274
2020-07-17,South West,1380.4742425383174
2020-07-17,Wales,3229.6962033194827
2020-07-17,West Midlands,3207.6825216930415
2020-07-17,Yorkshire and The Humber,2310.4876581639637
2020-07-18,East Midlands,1876.5602507217104
2020-07-18,East of England,1466.0592199088037
2020-07-18,London,2887.8786347784303
2020-07-18,North East,979.3598835815335
2020-07-18,North West,4108.4095100802015
