date,region,active_cases,active_cases_lolim,active_cases_uplim
2021-11-01,East Midlands,94622.56579771462,88470.62216228817,101193.03176707418
2021-11-01,East of England,110599.99162384843,105058.5222196581,116428.11042383654
2021-11-01,London,133269.03596255535,126255.56888210053,140665.81985796645
2021-11-01,North East,57260.87245568656,52000.14413168312,63040.82539995003
2021-11-01,North West,148025.47733349935,139586.54527408772,156963.3066108758
2021-11-01,Northern Ireland,28245.393533809376,22112.072544949096,36046.693682289966
2021-11-01,Scotland,66256.4849890623,60669.09589651944,72351.46068678924
2021-11-01,South East,165221.28374424364,159140.55369012835,171529.86867766184
2021-11-01,South West,122702.91368416946,117258.52535172924,128394.09497917557
2021-11-01,Wales,73290.84636597334,68433.65962399305,78483.88074775005
2021-11-01,West Midlands,112024.1228249823,104641.73950495903,119916.45466329902
2021-11-01,Yorkshire and The Humber,114715.59530016236,107570.51727359512,122324.36349494185
2021-11-02,East Midlands,93737.31890529799,87617.81901385091,100275.05475711898
2021-11-02,East of England,110741.6663472016,105200.23084395088,116569.3546463602
2021-11-02,London,131999.80898224426,125022.53142119221,139360.2584187332
2021-11-02,North East,57659.04758690248,52386.015193490006,63449.807747797306
2021-11-02,North West,146502.36713991684,138113.11030706935,155390.04031262663
2021-11-02,Northern Ireland,29270.78490090198,23028.877954993917,37170.43062855513
2021-11-02,Scotland,65690.56947776492,60128.74515760801,71759.92381883426
2021-11-02,South East,165775.6462975986,159692.23646044428,172086.30923163396
2021-11-02,South West,122469.36282298047,117033.65031051254,128151.56662535177
2021-11-02,Wales,72710.91386426926,67874.5907767957,77883.01789174801
2021-11-02,West Midlands,110853.90084851097,103521.49145967553,118694.93451439892
2021-11-02,Yorkshire and The Humber,114718.96034931549,107579.14855801265,122321.74210850055
2021-11-03,East Midlands,92336.34248472855,86261.2771550813,98830.2089525711
2021-11-03,East of England,110520.28272174865,104981.4401853647,116345.71728921121
2021-11-03,London,130304.19360830628,123371.75256250781,137620.03795570054
2021-11-03,North East,58031.86919837488,52733.09887308326,63849.908496559976
2021-11-03,North West,144810.14337634933,136464.59250208928,153655.01666517605
