date,region,active_cases,active_cases_lolim,active_cases_uplim
2021-11-01,East Midlands,97158.83692277028,90923.82011299049,103811.91179268039
2021-11-01,East of England,113490.14655014983,107876.17038820597,119390.49192736999
2021-11-01,London,137820.2729976102,130686.60731799049,145336.84915612132
2021-11-01,North East,58159.93396304226,52856.92336893364,63981.79872400278
2021-11-01,North West,152407.1569034758,143843.0940618941,161469.48655941166
2021-11-01,Northern Ireland,28347.28829862101,22201.699138173204,36160.66883292326
2021-11-01,Scotland,68337.79487125983,62660.50721380458,74522.26699638367
2021-11-01,South East,168336.33017928706,162198.5133259023,174701.8388851014
2021-11-01,South West,124983.93702724451,119489.14025135056,130725.3138181091
2021-11-01,Wales,76604.90757395138,71637.92701096929,81906.98433715804
2021-11-01,West Midlands,115454.98327379234,107958.67447524676,123460.61853189515
2021-11-01,Yorkshire and The Humber,117659.79099295501,110422.5521664102,125360.19523254521
2021-11-02,East Midlands,96437.76880531241,90229.47076900052,103063.80900410068
2021-11-02,East of England,113909.78628902994,108289.02811805031,119816.49053884776
2021-11-02,London,136670.13544165343,129568.9765227697,144154.04954840895
2021-11-02,North East,58765.376095706764,53440.6190228174,64607.40624992764
2021-11-02,North West,151062.57328651028,142542.5142645047,160080.3934798517
2021-11-02,Northern Ireland,29270.067364624378,23028.245112953755,37169.629713787275
2021-11-02,Scotland,67860.78788218065,62204.86201713155,74023.82458932724
2021-11-02,South East,169151.24891717464,163006.18857719202,175523.3861350235
2021-11-02,South West,124949.67284956393,119459.15206674345,130686.45367352471
2021-11-02,Wales,76066.47697466015,71118.57092112635,81349.40356719715
2021-11-02,West Midlands,114394.44324705128,106944.0305552393,122352.84020374875
2021-11-02,Yorkshire and The Humber,117912.11834984632,110672.48835383834,125614.15006830478
2021-11-03,East Midlands,95210.1265512772,89039.82925290719,101798.69910646402
2021-11-03,East of England,114007.8705558773,108381.63229637397,119920.36282572398
2021-11-03,London,135153.95967939316,128092.05310174932,142598.83677095975
2021-11-03,North East,59390.12207994398,54028.03215753119,65270.920924060614
2021-11-03,North West,149637.30380461246,141152.42459439827,158620.81098531303
2021-11-03,Northern Ireland,30433.573560433957,24057.810671406747,38463.75842898816
2021-11-03,Scotland,67294.59637312977,61658.38905715065,73438.90528389884
2021-11-03,South East,169477.41173612868,163327.94687930366,175853.82233250828
2021-11-03,South West,124440.64951617066,118954.45529614952,130173.78353206841
2021-11-03,Wales,75315.87799057843,70387.70611140663,80579.94391648055
2021-11-03,West Midlands,113501.33021276761,106077.29043334995,121433.97043109211
2021-11-03,Yorkshire and The Humber,117376.29418446295,110151.4477337384,125063.88423450357
2021-11-04,East Midlands,93602.5237701611,87461.85769213036,100165.08542391547
2021-11-04,East of England,114078.72331442374,108429.73140549821,120016.15651881976
2021-11-04,London,133278.27656984498,126227.01305211651,140717.0848783827
2021-11-04,North East,59856.933549567264,54441.69270053676,65797.08572356618
2021-11-04,North West,147829.00534407684,139357.42808540718,156804.18567543774
2021-11-04,Northern Ireland,31337.087350144247,24822.370463664593,39524.921740760314
2021-11-04,Scotland,66807.9662557206,61174.27225089425,72953.37415525297
2021-11-04,South East,169067.2119385575,162902.8123757023,175460.26662472854
2021-11-04,South West,123417.34789131735,117928.27623221373,129155.81870185863
2021-11-04,Wales,74557.14652930417,69630.06276775892,79823.71832154781
2021-11-04,West Midlands,112396.46603181376,104977.47159499663,120328.79407999376
2021-11-04,Yorkshire and The Humber,116419.35717009631,109190.01924726709,124116.1810302644
2021-11-05,East Midlands,91899.25652569429,85803.05480356979,98419.46974114307
2021-11-05,East of England,113881.59568730135,108227.91381445719,119824.74634012592
2021-11-05,London,131176.1050856131,124164.98072492771,138576.83615664966
2021-11-05,North East,60169.92605910692,54736.2307751952,66129.20156163562
2021-11-05,North West,145990.67265728695,137559.61242477593,154927.18890172694
2021-11-05,Northern Ireland,32261.17900347182,25639.20652894678,40555.76633723277
2021-11-05,Scotland,66445.9732922764,60820.48339791403,72584.69222844706
2021-11-05,South East,168289.74121462295,162128.911858696,174680.0720848136
2021-11-05,South West,121797.07514845542,116333.75566408408,127510.92523834512
2021-11-05,Wales,73871.60259577067,68959.96442100366,79123.96443607507
2021-11-05,West Midlands,110906.43455133974,103524.51071533926,118803.8501364746
2021-11-05,Yorkshire and The Humber,115189.54951601481,107986.36184341209,122862.13606926808
2021-11-06,East Midlands,90254.71103902342,84197.73183669614,96738.40346132156
2021-11-06,East of England,113659.9084986142,108002.6894555691,119607.57394120385
2021-11-06,London,129046.38262676072,122080.4016491433,136403.63700849848
2021-11-06,North East,60474.46156705841,55019.591851796824,66456.2176716477
2021-11-06,North West,143967.19937799763,135582.02984563707,152859.78418072878
2021-11-06,Northern Ireland,33295.69738135207,26543.29008927118,41726.91160826682
2021-11-06,Scotland,66468.42878010264,60838.19030444498,72612.61073355893
2021-11-06,South East,166849.43446766085,160701.93155259805,173227.51541984582
2021-11-06,South West,119870.76081334088,114439.65411064068,125553.64551376093
2021-11-06,Wales,73058.4182560615,68154.87074549649,78305.6768374596
2021-11-06,West Midlands,109104.48142182885,101772.36487694332,116954.08579144883
2021-11-06,Yorkshire and The Humber,113795.11775624954,106620.7593203848,121441.22095137113
2021-11-07,East Midlands,88689.89111281959,82686.96573890767,95119.75909190637
2021-11-07,East of England,113213.567205125,107568.15088917238,119149.41061992025
2021-11-07,London,126730.09466458579,119824.72612018051,134027.30503906184
2021-11-07,North East,60648.64511693332,55186.29072079787,66637.69793527747
2021-11-07,North West,141779.9935521082,133460.3189244325,150607.29690067645
2021-11-07,Northern Ireland,34381.94431085364,27525.83570554152,42905.92504494289
2021-11-07,Scotland,66574.96957039005,60944.185182501154,72718.89255213969
2021-11-07,South East,165019.5281830278,158902.23313418616,171367.77692910627
2021-11-07,South West,117695.73041667308,112313.88093932015,123329.59915322527
2021-11-07,Wales,71981.18688204278,67116.08357802061,77190.0020781412
2021-11-07,West Midlands,107101.7828208431,99841.96356993627,114878.93818422683
2021-11-07,Yorkshire and The Humber,112156.28834381302,105035.25316975638,119749.25399650975
2021-11-08,East Midlands,86965.2962306673,81022.89016421318,93334.84185446551
2021-11-08,East of England,112538.96723776714,106902.29467751786,118467.00561430486
2021-11-08,London,124336.89349664877,117484.3427725479,131583.1150568208
2021-11-08,North East,60814.72762600643,55334.28562414003,66823.9039397444
2021-11-08,North West,139275.08421717273,131027.1261832303,148031.41410364673
2021-11-08,Northern Ireland,35437.661010263684,28431.4805732672,44128.88058318821
2021-11-08,Scotland,66460.65100344634,60832.53432817734,72602.37261908993
2021-11-08,South East,162784.47293090646,156706.59138846438,169093.59755950354
2021-11-08,South West,115269.14118532598,109939.2937361631,120851.6205099043
2021-11-08,Wales,70586.28102434118,65764.96002207848,75752.26137047766
2021-11-08,West Midlands,105052.98004353471,97862.19846026652,112761.7710607311
2021-11-08,Yorkshire and The Humber,110154.32169305884,103089.99400027734,117692.04814268804
2021-11-09,East Midlands,85268.91183981336,79384.09646355055,91581.44178522177
2021-11-09,East of England,111917.21518691481,106291.61339169175,117834.73864710951
2021-11-09,London,121749.33192773981,114967.3449671986,128925.48938074728
2021-11-09,North East,60825.82211579388,55338.55620642294,66843.09487469328
2021-11-09,North West,136777.6242332068,128594.20997574691,145471.1445738894
2021-11-09,Northern Ireland,36200.37928147214,29098.94915036264,44992.437621295474
2021-11-09,Scotland,66522.18777746469,60896.10275176409,72660.96544632695
2021-11-09,South East,160210.61134224228,154173.80016505547,166479.3695558445
2021-11-09,South West,112596.65833159942,107320.04438193701,118127.05913726038
2021-11-09,Wales,69211.69699220175,64436.4046266306,74332.23934827902
2021-11-09,West Midlands,103065.43590543559,95935.47190175146,110715.10427762312
2021-11-09,Yorkshire and The Humber,108096.64943521783,101081.95795710072,115587.57931427422
2021-11-10,East Midlands,83774.53047326361,77935.59426335886,90042.51051600494
2021-11-10,East of England,111112.28915880935,105501.212514581,117015.99899282202
2021-11-10,London,119466.70970003183,112738.21851829714,126590.95759753502
2021-11-10,North East,60712.11885704899,55221.62771455436,66734.38729727565
2021-11-10,North West,134192.7562185744,126078.88475966986,142818.30415800805
2021-11-10,Northern Ireland,36777.23752244216,29615.785201682345,45627.40250534396
2021-11-10,Scotland,66779.04994136177,61137.09526588363,72934.53423530642
2021-11-10,South East,157751.21962832334,151752.77999355606,163982.3883992651
2021-11-10,South West,110088.1355169308,104864.26239305596,115566.69800498092
2021-11-10,Wales,67820.40892013196,63092.07418834968,72894.62052370867
2021-11-10,West Midlands,101331.38257939897,94261.92147458166,108921.00463327921
2021-11-10,Yorkshire and The Humber,105890.08451152043,98937.877356632,113320.43295511034
2021-11-11,East Midlands,82478.07346748217,76678.72129379325,88707.73676454174
2021-11-11,East of England,110500.55218891104,104894.36486684778,116400.58413214893
2021-11-11,London,117131.38797838482,110460.44685441468,124199.47830178929
2021-11-11,North East,60439.55331059502,54948.292215531015,66465.44559475982
2021-11-11,North West,131894.0661024063,123841.8319223561,140459.5123490675
2021-11-11,Northern Ireland,36395.296984906025,29272.998038301837,45207.85681255693
2021-11-11,Scotland,67216.38506302876,61549.51874725261,73397.80851941454
2021-11-11,South East,155464.9679422875,149498.6061725153,161665.1112749626
2021-11-11,South West,107717.19389951535,102541.85235264918,113148.29483022788
2021-11-11,Wales,66551.70725677749,61859.796878325884,71591.12613250349
2021-11-11,West Midlands,99730.39678023897,92701.77204269578,107281.99827058068
2021-11-11,Yorkshire and The Humber,103812.57734917522,96925.1407738596,111179.23266773015
2021-11-12,East Midlands,81269.18864091959,75507.80742981783,87461.96930060005
2021-11-12,East of England,109583.49981710981,103994.9439137743,115466.62775558166
2021-11-12,London,114944.96705829649,108335.55705759644,121951.9852900746
2021-11-12,North East,59990.37653219922,54514.6048047051,66002.09801647389
2021-11-12,North West,129515.46510040924,121524.36180040732,138021.8401170733
