date,region,active_cases,active_cases_lolim,active_cases_uplim
2021-11-01,East Midlands,97167.31052037835,90932.01810385681,103820.65944590686
2021-11-01,East of England,113489.98312516345,107876.01103543909,119390.32444600704
2021-11-01,London,137793.7597705956,130660.78824949778,145309.6441376952
2021-11-01,North East,58146.22254778526,52843.854175073124,63967.45073706345
2021-11-01,North West,152374.14537452545,143811.01807169212,161435.54424116726
2021-11-01,Northern Ireland,28343.389517955387,22198.26935635673,36156.30823862075
2021-11-01,Scotland,68332.93647069478,62655.85700157752,74517.20134619
2021-11-01,South East,168310.70279201717,162173.35330344553,174675.74547423527
2021-11-01,South West,124969.00345729876,119474.53509376037,130710.05322994871
2021-11-01,Wales,76590.57712833588,71624.06578652798,81892.18791969394
2021-11-01,West Midlands,115683.37263581598,108179.54386437075,123696.48645691556
2021-11-01,Yorkshire and The Humber,117654.41402677249,110417.34238798138,125354.65203696601
2021-11-02,East Midlands,96445.65112586523,90237.09583792351,103071.9471349408
2021-11-02,East of England,113909.02663428351,108288.28734291926,119815.71207803083
2021-11-02,London,136642.2664752856,129541.84016965958,144125.45045525883
2021-11-02,North East,58750.85252492024,53426.77111024129,64592.21298992314
2021-11-02,North West,151028.2249358671,142509.14324728982,160045.07273063567
2021-11-02,Northern Ireland,29265.703013755883,23024.395930235816,37164.758197683994
2021-11-02,Scotland,67855.49670800148,62199.79836261246,74018.30691748104
2021-11-02,South East,169123.67639641094,162979.11698301978,175495.3141270565
2021-11-02,South West,124933.26504569952,119443.10491300264,130669.68674929882
2021-11-02,Wales,76051.46873760907,71104.0558172059,81333.90559801793
2021-11-02,West Midlands,114633.84287223768,107175.52131026976,122600.10542361085
2021-11-02,Yorkshire and The Humber,117905.55656866416,110666.13020983344,125607.3858176615
2021-11-03,East Midlands,95215.33749388154,89044.86890600904,101804.08038500663
2021-11-03,East of England,114006.02983043663,108379.83732302333,119918.47652659832
2021-11-03,London,135124.3627896735,128063.2388829357,142568.45985152727
2021-11-03,North East,59374.476797078154,54013.11182271296,65254.5571441987
2021-11-03,North West,149600.20722816966,141116.38958668892,158582.65817691773
2021-11-03,Northern Ireland,30428.482379153178,24053.30833072155,38458.087736137684
2021-11-03,Scotland,67288.59872664452,61652.65065437543,73432.64955416514
2021-11-03,South East,169447.23756910593,163298.32021118543,175823.10224099315
2021-11-03,South West,124422.37925299522,118936.5880162437,130155.1119934025
2021-11-03,Wales,75299.96965641507,70372.3238267342,80563.51314536411
2021-11-03,West Midlands,113749.06792941454,106316.8063536084,121689.88512132275
2021-11-03,Yorkshire and The Humber,117366.23604350326,110141.70257889174,125053.51489830345
2021-11-04,East Midlands,93606.63819300488,87465.83510281432,100169.33610002694
2021-11-04,East of England,114077.98668348293,108429.01314791634,120015.40158646238
2021-11-04,London,133249.27878947303,126198.79215090424,140687.31283634473
2021-11-04,North East,59841.43147141258,54426.91035273535,65780.87038589467
2021-11-04,North West,147791.869201334,139321.36657281162,156765.98029551195
2021-11-04,Northern Ireland,31332.062049041182,24817.921184853476,39519.32973905828
2021-11-04,Scotland,66802.44806067197,61168.99429947647,72947.61679165931
2021-11-04,South East,169037.63526113925,162873.77503974675,175430.15216056147
2021-11-04,South West,123399.5097985551,117910.83521808051,129137.58521380412
2021-11-04,Wales,74541.61147502984,69615.04684216021,79807.66770228792
2021-11-04,West Midlands,112630.53802297181,105203.7001035594,120570.66682613172
2021-11-04,Yorkshire and The Humber,116407.88558380699,109178.9079584404,124104.35120922494
2021-11-05,East Midlands,91902.25751708884,85805.95467014924,98422.57130146737
2021-11-05,East of England,113881.84575235244,108228.15762568494,119825.00263449266
2021-11-05,London,131148.1169149375,124137.75045703087,138548.0926217547
2021-11-05,North East,60154.555556669715,54721.572457440656,66113.12530020534
2021-11-05,North West,145953.4560184636,137523.48162301775,154888.89184750416
2021-11-05,Northern Ireland,32256.197655601787,25634.78787404849,40550.231543250484
2021-11-05,Scotland,66440.92408017714,60815.6549403793,72579.42324827595
2021-11-05,South East,168260.67056298486,162100.37354916212,174650.47062456806
2021-11-05,South West,121779.69672141646,116316.76758530001,127493.15810944117
2021-11-05,Wales,73856.40107130364,68945.27420975154,79108.25509664431
2021-11-05,West Midlands,111125.8637846985,103736.52133101092,119030.65778570568
2021-11-05,Yorkshire and The Humber,115176.6679595043,107973.88789681476,122848.84922746284
2021-11-06,East Midlands,90255.85779795861,84198.83947257228,96739.58912969717
2021-11-06,East of England,113661.00626961493,108003.75969906822,119608.69913176347
2021-11-06,London,129019.35273675373,122054.11138240884,136375.8699561289
