date,region,active_cases,active_cases_lolim,active_cases_uplim
2021-11-01,East Midlands,97163.54247927672,90928.37261804385,103816.76953927036
2021-11-01,East of England,113476.5612946582,107862.92366031486,119376.56946127432
2021-11-01,London,137794.34844891576,130661.36151452345,145310.24817675233
2021-11-01,North East,58151.4546100499,52848.841166172766,63972.92571465026
2021-11-01,North West,152374.55987362764,143811.42082332226,161435.97042810646
2021-11-01,Northern Ireland,28342.940337623426,22197.87421172275,36155.80585040245
2021-11-01,Scotland,68328.54000881364,62651.6489400054,74512.61733345636
2021-11-01,South East,168311.39814615468,162174.0359759636,174676.45347360065
2021-11-01,South West,124964.0519664287,119469.69249848045,130704.99330574066
2021-11-01,Wales,76593.78299000385,71627.16667471147,81895.49802794028
2021-11-01,West Midlands,115673.57749159214,108170.0710748379,123686.37073398527
2021-11-01,Yorkshire and The Humber,117650.82589028674,110413.86582084936,125350.95297065371
2021-11-02,East Midlands,96441.89814928756,90233.4653441076,103068.0723618618
2021-11-02,East of England,113895.36750733863,108274.96769608538,119801.7147933641
2021-11-02,London,136642.894961803,129542.45213380078,144126.09540807866
2021-11-02,North East,58756.13634663403,53431.8091103975,64597.74046161478
2021-11-02,North West,151028.62066043692,142509.52771140798,160045.479658803
2021-11-02,Northern Ireland,29265.23645437933,23023.984445879265,37164.23741881797
2021-11-02,Scotland,67851.11900683743,62195.60890885049,74013.74181447015
2021-11-02,South East,169124.69772736306,162980.1197580677,175496.3539605955
2021-11-02,South West,124928.29891602256,119438.24794584147,130664.6119201173
2021-11-02,Wales,76054.64731348766,71107.1299486741,81337.18789801281
2021-11-02,West Midlands,114624.11865355188,107166.11817321887,122590.06188110502
2021-11-02,Yorkshire and The Humber,117901.81140871106,110662.50127922755,125603.52509483935
2021-11-03,East Midlands,95211.56190208581,89041.21742163661,101800.18137669317
2021-11-03,East of England,113992.09171756,108366.24566110193,119904.19331366324
2021-11-03,London,135124.93607617315,128063.79700838818,142569.0482479146
2021-11-03,North East,59379.76663399311,54018.15653559157,65260.08992398072
2021-11-03,North West,149601.34241078538,141117.49228244548,158583.8256830831
2021-11-03,Northern Ireland,30427.965485180135,24052.851222987694,38457.51200307641
2021-11-03,Scotland,67284.20289695747,61648.44483867421,73428.06456102445
2021-11-03,South East,169448.43757459676,163299.4984420445,175824.32395850244
2021-11-03,South West,124417.33937050162,118931.65930291805,130149.96141283467
2021-11-03,Wales,75303.0656279816,70375.31741746562,80566.71079471827
2021-11-03,West Midlands,113739.32678933431,106307.38831880642,121679.82263841381
2021-11-03,Yorkshire and The Humber,117362.31179306685,110137.90044593446,125049.46922910877
2021-11-04,East Midlands,93602.86526674822,87462.18781660394,100165.43822962817
2021-11-04,East of England,114063.78115329165,108415.16195028508,120000.84311107986
2021-11-04,London,133249.8001119127,126199.29950582195,140687.84807924903
2021-11-04,North East,59846.7200068991,54431.95334098615,65786.40226109044
2021-11-04,North West,147793.72829259164,139323.17186305966,156767.89291779927
2021-11-04,Northern Ireland,31331.503667084475,24817.42681005027,39518.70838571987
2021-11-04,Scotland,66798.0329489813,61164.77141427052,72943.01031366081
2021-11-04,South East,169038.9931428148,162875.1081588644,175431.5347334172
2021-11-04,South West,123394.42842496322,117905.86696223747,129132.3912019801
