date,region,active_cases,active_cases_lolim,active_cases_uplim
2021-11-01,East Midlands,97172.35296417614,90936.89654644343,103825.86496787783
2021-11-01,East of England,113495.31262523778,107881.20773676592,119395.78622817072
2021-11-01,London,137784.888113626,130652.14888223785,145300.5409830805
2021-11-01,North East,58183.05892189339,52878.96537287186,64005.99710925319
2021-11-01,North West,152388.85302369716,143825.30889633903,161450.6665988361
2021-11-01,Northern Ireland,28355.520622259377,22208.941273454435,36169.87617325413
2021-11-01,Scotland,68320.03933531229,62643.5125611977,74503.75400770767
2021-11-01,South East,168309.51601379376,162172.1881693217,174674.53711402268
2021-11-01,South West,124974.60907461158,119480.01743239934,130715.78160261638
2021-11-01,Wales,76589.60004081998,71623.12069346324,81891.17905927447
2021-11-01,West Midlands,115703.74277627264,108199.24367703324,123717.52323180025
2021-11-01,Yorkshire and The Humber,117646.09375625283,110409.28083034608,125346.07453651541
2021-11-02,East Midlands,96450.37060856425,90241.66129839221,103076.81977687664
2021-11-02,East of England,113912.32339781482,108291.50217283265,119819.09045600853
2021-11-02,London,136634.2385880498,129534.02333224843,144117.21223444823
2021-11-02,North East,58790.7923049862,53464.85304570929,64633.99419987414
2021-11-02,North West,151042.79871267,142523.30233359916,160060.0591041057
2021-11-02,Northern Ireland,29278.12978077073,23035.35594484167,37178.62893012926
2021-11-02,Scotland,67843.45431607524,62188.27382586956,74005.74899636571
2021-11-02,South East,169121.33519955946,162976.81832208918,175492.93051650331
2021-11-02,South West,124938.82682433902,119448.5444386768,130675.37026235781
2021-11-02,Wales,76050.29116086583,71102.91693489783,81332.68959368908
2021-11-02,West Midlands,114656.60095394039,107197.52800464416,122623.61077873847
2021-11-02,Yorkshire and The Humber,117896.96847834879,110657.8086499347,125598.53272524197
2021-11-03,East Midlands,95219.67634870406,89049.06514161474,101808.56106506739
2021-11-03,East of England,114007.32205172225,108381.09742550494,119919.8007414445
2021-11-03,London,135117.01458421757,128056.08500997437,142560.9179693223
2021-11-03,North East,59417.43562596533,54054.080332278354,65299.48857910584
2021-11-03,North West,149613.67179471106,141129.46883028562,158596.5061293668
2021-11-03,Northern Ireland,30441.26091905827,24064.609014340946,38472.32071706923
2021-11-03,Scotland,67277.52250543151,61642.0532258197,73421.09668339032
2021-11-03,South East,169443.73244235918,163294.87868698442,175819.53369458937
2021-11-03,South West,124427.76301417465,118941.85302567462,130160.61400309333
2021-11-03,Wales,75298.55909796713,70370.9599148608,80562.05626065776
2021-11-03,West Midlands,113774.02865327014,106340.93921836087,121715.66918817603
2021-11-03,Yorkshire and The Humber,117357.37600768042,110133.11825874071,125044.38072435634
2021-11-04,East Midlands,93609.33710880872,87468.44414521904,100172.12439142352
2021-11-04,East of England,114075.23086275699,108426.32606458598,120012.57729748529
2021-11-04,London,133240.55073676526,126190.29794862733,140678.35172104655
2021-11-04,North East,59885.651084362275,54469.077200037944,65827.12430645761
2021-11-04,North West,147801.84133594332,139331.0501239008,156776.23956547363
2021-11-04,Northern Ireland,31344.40521919731,24828.84961122384,39533.06475701039
2021-11-04,Scotland,66789.919910091,61157.0116204783,72934.54561030031
2021-11-04,South East,169030.2974010164,162866.57099589022,175422.6808698908
2021-11-04,South West,123401.6375186244,117912.91557317133,129139.76009806426
2021-11-04,Wales,74538.77934507506,69612.3093586011,79804.7415756187
2021-11-04,West Midlands,112678.46661741882,105250.02372831866,120620.19164135745
2021-11-04,Yorkshire and The Humber,116397.55003784376,109168.89704556458,124093.69288861475
2021-11-05,East Midlands,91903.36973336505,85807.02940836537,98423.72078978345
2021-11-05,East of England,113875.13919403126,108221.61879275485,119818.12900805897
2021-11-05,London,131139.04927930026,124128.92838559602,138538.78024436012
2021-11-05,North East,60198.41172471626,54763.39682762617,66158.99493189623
2021-11-05,North West,145959.9194529726,137529.75646906692,154895.54292888928
2021-11-05,Northern Ireland,32268.08688800166,25645.3341731596,40563.44163899655
2021-11-05,Scotland,66426.94725232878,60802.28923301049,72564.83803067864
2021-11-05,South East,168248.40637240667,162088.33395515353,174637.98248436465
2021-11-05,South West,121778.96212902282,116316.04949372275,127492.40708582466
2021-11-05,Wales,73852.11511638018,68941.13242590443,79103.82595695001
2021-11-05,West Midlands,111195.99709664792,103804.28515732831,119103.14773410396
2021-11-05,Yorkshire and The Humber,115164.90549804278,107962.4976550046,122836.71666901541
2021-11-06,East Midlands,90255.42006810696,84198.41667636955,96739.13654773706
2021-11-06,East of England,113650.42833160712,107993.44701730524,119597.85697762847
2021-11-06,London,129009.94747269202,122044.96349506169,136366.2081716457
2021-11-06,North East,60502.45759840389,55046.292665610745,66485.49718476176
2021-11-06,North West,143932.86934176672,135548.71051718484,152824.44845432823
2021-11-06,Northern Ireland,33302.14631192535,26549.020667531673,41734.06686189589
2021-11-06,Scotland,66448.68382260772,60819.309111172384,72592.00587492695
2021-11-06,South East,166803.07091533535,160656.4227550673,173180.29956909356
2021-11-06,South West,119849.79828791619,114419.16747012227,125532.20909780392
2021-11-06,Wales,73037.83828346159,68134.9899797216,78284.40243290305
2021-11-06,West Midlands,109400.38480288125,102058.16297667407,117260.04006602554
2021-11-06,Yorkshire and The Humber,113767.66553638503,106594.18338721419,121412.89742095837
2021-11-07,East Midlands,88686.52472321579,82683.71525514772,95116.27742345979
2021-11-07,East of England,113200.27304187804,107555.19075549301,119135.78373402264
2021-11-07,London,126693.4768656066,119789.12028597192,133989.67861218858
2021-11-07,North East,60675.158033885404,55211.57903944809,66665.42433890588
2021-11-07,North West,141741.1620712842,133422.63986914838,150567.31866865625
2021-11-07,Northern Ireland,34387.53311303118,27530.813841175317,42912.11414420008
2021-11-07,Scotland,66553.76218433361,60923.90406608692,72696.76303931927
2021-11-07,South East,164967.21420110567,158850.88983554856,171314.4950388736
2021-11-07,South West,117671.67935615433,112290.38127065318,123304.99898938356
2021-11-07,Wales,71959.13054389718,67094.78231120782,77167.19578236427
2021-11-07,West Midlands,107403.26597984493,100133.05539242343,115190.75732199142
2021-11-07,Yorkshire and The Humber,112125.34559199419,105005.30564900846,119717.32162115636
2021-11-08,East Midlands,86957.85125019359,81015.70414797685,93327.13929600306
2021-11-08,East of England,112521.89584306227,106885.65422383463,118449.50496186574
2021-11-08,London,124300.00473366349,117448.48575070334,131545.19792807577
2021-11-08,North East,60839.568892816824,55357.97887374403,66849.88277110417
2021-11-08,North West,139231.79702915731,130985.13631566905,147986.83592531728
2021-11-08,Northern Ireland,35442.289596337745,28435.60844322236,44134.00119890761
2021-11-08,Scotland,66437.8601951474,60810.740270257025,72578.58951646554
2021-11-08,South East,162726.36895563122,156649.57372534592,169034.41035645184
2021-11-08,South West,115242.42966631932,109913.20189845531,120824.29185512416
2021-11-08,Wales,70562.87834919932,65742.36766329601,75728.0538146644
2021-11-08,West Midlands,105358.84402277511,98157.40958161224,113078.23170348407
2021-11-08,Yorkshire and The Humber,110120.0102779332,103056.79806892523,117656.62747635848
2021-11-09,East Midlands,85237.7310654105,79354.01198872548,91549.17052059299
2021-11-09,East of England,111893.29889511252,106268.30312005532,117810.21869735663
2021-11-09,London,121709.37842556449,114928.52160435419,128884.40939749044
2021-11-09,North East,60842.937295813164,55354.87951700415,66860.994705064
2021-11-09,North West,136726.50120676187,128544.6359326195,145418.48006026587
2021-11-09,Northern Ireland,36202.87597494404,29101.178167106715,44995.19728640905
2021-11-09,Scotland,66495.67957846128,60870.75232826434,72633.30464561144
2021-11-09,South East,160143.84247987802,154108.29170690512,166411.3438423024
