,UTLA19CD,UTLA19NM,respondent,population,active_cases,percentage
0,E06000001,Hartlepool,314,92455.0,463.55805758468165,
1,E06000002,Middlesbrough,507,139659.0,3003.9325015659774,
2,E06000003,Redcar and Cleveland,670,135423.0,5456.253693949163,
3,E06000004,Stockton-on-Tees,1140,195746.0,12527.898555156311,6.400078956993404
4,E06000005,Darlington,871,105508.0,3965.3424939349193,3.758333485550782
5,E06000006,Halton,576,127674.0,2874.8453102892054,
6,E06000007,Warrington,1866,207992.0,3731.717259148747,1.7941638424308373
7,E06000008,Blackburn with Darwen,414,148166.0,2014.605173438581,
8,E06000009,Blackpool,501,137963.0,2076.8694242291267,
9,E06000010,"Kingston upon Hull, City of",749,259149.0,8051.332274537819,
10,E06000011,East Riding of Yorkshire,3027,336031.0,10645.736351977906,3.168081621034341
11,E06000012,North East Lincolnshire,678,158300.0,4225.824675205623,
12,E06000013,North Lincolnshire,906,170405.0,7957.638240567387,4.669838467514091
13,E06000014,York,3020,207799.0,6530.201365001757,3.142556684585468
14,E06000015,Derby,1527,254921.0,9798.841508190755,3.843873791563172
15,E06000016,Leicester,931,353020.0,17382.887479895326,4.924051747746678
16,E06000017,Rutland,788,39207.0,1123.7113061184482,2.8660986714577708
17,E06000018,Nottingham,1429,329068.0,13499.841134336457,4.102447255380789
18,E06000019,"Herefordshire, County of",2240,189824.0,9311.726918910741,4.905452903168588
19,E06000020,Telford and Wrekin,1056,176740.0,8700.976674869344,4.923037611672141
20,E06000021,Stoke-on-Trent,755,254230.0,15348.817981161083,6.037374810667932
21,E06000022,Bath and North East Somerset,3580,190096.0,7206.573233951768,3.7910178193921853
22,E06000023,"Bristol, City of",6477,459940.0,21573.873459328133,4.6905843065026165
23,E06000024,North Somerset,3481,211262.0,7674.780649590463,3.632825898453325
24,E06000025,South Gloucestershire,3487,280179.0,9912.929204030455,3.5380700209617624
25,E06000026,Plymouth,1956,260815.0,7823.172775185405,2.9995102947243852
26,E06000027,Torbay,1141,133799.0,7336.134475591789,5.482951648062982
27,E06000030,Swindon,1888,220365.0,5835.757540633618,2.648223420522142
28,E06000031,Peterborough,1256,199601.0,11299.932952437543,5.661260691297911
29,E06000032,Luton,598,212818.0,7374.746229707573,
30,E06000033,Southend-on-Sea,1624,180319.0,9381.858660807977,5.202922964750235
31,E06000034,Thurrock,760,171548.0,3618.3458795364936,2.1092323312055483
32,E06000035,Medway,1780,276085.0,12134.812270021474,4.395317481942689
33,E06000036,Bracknell Forest,1688,120850.0,2836.2134959294212,2.346887460429807
34,E06000037,West Berkshire,2752,157215.0,7595.34661925651,4.831184441215221
35,E06000038,Reading,1727,162111.0,5023.334649255213,3.0987006737699554
36,E06000039,Slough,392,148414.0,3682.984252946258,
37,E06000040,Windsor and Maidenhead,2641,149214.0,7927.646697538065,5.312937591337318
38,E06000041,Wokingham,3352,166550.0,7532.72412046558,4.522800432582156
39,E06000042,Milton Keynes,2587,266983.0,8163.205377280629,3.0575749681742392
40,E06000043,Brighton and Hove,4939,287939.0,17200.95332330494,5.973818525210181
41,E06000044,Portsmouth,1798,213493.0,11247.392425008253,5.268272226727927
42,E06000045,Southampton,1894,250992.0,11896.752714233791,4.739893189517511
43,E06000046,Isle of Wight,1601,139483.0,6196.248569893506,4.442296602376997
44,E06000047,County Durham,3295,522842.0,22866.106123342455,4.373425647392989
45,E06000049,Cheshire East,5238,376355.0,13273.48011500118,3.526851009021052
46,E06000050,Cheshire West and Chester,4198,337053.0,19361.57191947513,5.744370149345987
47,E06000051,Shropshire,3987,316547.0,11916.135299098894,3.7644126461785747
48,E06000052,Cornwall,7586,558138.0,16944.59466424105,3.0359148927758097
49,E06000053,Isles of Scilly,53,2198.0,6.839248094070054,
50,E06000054,Wiltshire,7849,492707.0,20667.533046913573,4.19469036301769
51,E06000055,Bedford,1812,170018.0,6949.711328316357,4.087632679078896
52,E06000056,Central Bedfordshire,3495,281466.0,12611.650107709655,4.480701082087945
53,E06000057,Northumberland,3451,316927.0,10770.911843225434,3.3985466190086155
54,E06000058,"Bournemouth, Christchurch and Poole",4732,390510.0,15996.205475581788,4.096234533195511
55,E06000059,Dorset,6971,370768.0,12845.974075479942,3.464693305646642
56,E08000001,Bolton,1322,283381.0,6876.586902577591,2.4266224279600928
57,E08000002,Bury,1324,188590.0,9021.455216123732,4.783633923391342
58,E08000003,Manchester,2559,545218.0,22342.35026816,4.0978746608072365
59,E08000004,Oldham,840,233982.0,11688.683778725177,4.995548280946901
60,E08000005,Rochdale,799,218452.0,9152.815349904455,4.1898519353928805
61,E08000006,Salford,1087,252606.0,9794.145398366632,3.8772417909181227
62,E08000007,Stockport,3000,288940.0,11099.178962274265,3.8413438645650535
63,E08000008,Tameside,926,223765.0,9733.298784829112,4.349786063427754
64,E08000009,Trafford,2308,234138.0,9386.82214946307,4.009098117120276
65,E08000010,Wigan,1263,323990.0,10775.282100519215,3.325807000376312
66,E08000011,Knowsley,424,148509.0,4762.032613397392,
67,E08000012,Liverpool,2262,491811.0,18154.06218011293,3.69126802371499
68,E08000013,St. Helens,841,178726.0,11348.536840693889,6.349684344020394
69,E08000014,Sefton,2461,272132.0,8059.040536512038,2.961445378166492
70,E08000015,Wirral,3002,319813.0,15860.529852901178,4.959313677962177
71,E08000016,Barnsley,1141,243197.0,6602.892999051008,2.7150388364375417
72,E08000017,Doncaster,1367,308096.0,8486.804874516774,2.7545975522294266
73,E08000018,Rotherham,1169,262478.0,6700.347950635833,2.5527274478759487
74,E08000019,Sheffield,5312,577908.0,26712.92735244256,4.622349466081549
75,E08000021,Newcastle upon Tyne,2294,297950.0,9934.776941855025,3.3343772249891006
76,E08000022,North Tyneside,1880,204137.0,7337.478061985239,3.5943890926119417
77,E08000023,South Tyneside,746,148927.0,7834.007152724358,
78,E08000024,Sunderland,1385,274345.0,10238.606527789263,3.7320186363116745
79,E08000025,Birmingham,4677,1133553.0,44983.282441112315,3.9683439981290967
80,E08000026,Coventry,1528,364246.0,12652.578539152923,3.4736355482703782
81,E08000027,Dudley,1413,317880.0,8489.389706982009,2.6706271885560615
82,E08000028,Sandwell,656,325089.0,17554.9923196962,
83,E08000029,Solihull,2216,212380.0,12075.993925080067,5.686031606121135
84,E08000030,Walsall,867,281197.0,11851.534249526594,4.214673076002445
85,E08000031,Wolverhampton,722,259759.0,5810.579336152568,
86,E08000032,Bradford,3146,533428.0,21387.56004242145,4.009455829544278
87,E08000033,Calderdale,1696,208357.0,11060.443661820005,5.308409922306429
88,E08000034,Kirklees,2676,435440.0,15905.811936082215,3.6528136909981206
89,E08000035,Leeds,6442,783815.0,40498.05148791744,5.166786995390167
90,E08000036,Wakefield,1746,342234.0,14740.04275246154,4.307007121578084
91,E08000037,Gateshead,1252,200838.0,8715.776630664652,4.339704951585184
92,E09000001,City of London,186,8610.0,324.6146869563126,
93,E09000002,Barking and Dagenham,359,210737.0,5871.95210733452,
94,E09000003,Barnet,4151,388654.0,24680.49124230703,6.350247583276393
95,E09000004,Bexley,2114,244881.0,8073.626892153041,3.2969592953936977
96,E09000005,Brent,1374,328913.0,12535.50191724305,3.8111907760541692
97,E09000006,Bromley,5982,327901.0,16326.482128396956,4.979088849499378
98,E09000007,Camden,2964,260516.0,11094.792523517017,4.258775861565899
99,E09000008,Croydon,3392,382662.0,12939.454810430367,3.381431866877392
100,E09000009,Ealing,3112,339832.0,15419.220972976958,4.5373069554888765
101,E09000010,Enfield,2257,331642.0,12564.12056174768,3.7884588085187283
102,E09000011,Greenwich,2546,284660.0,10830.344578652757,3.8046597971800593
103,E09000012,Hackney,2331,278710.0,17368.885326741354,6.231884513200586
104,E09000013,Hammersmith and Fulham,1902,184553.0,10387.129588268152,5.628263744435556
105,E09000014,Haringey,3565,269600.0,11253.000501049904,4.173961610181715
106,E09000015,Harrow,1767,248001.0,11324.010780839446,4.566114967616842
107,E09000016,Havering,1890,255125.0,10616.374385788917,4.161244247247002
108,E09000017,Hillingdon,1901,302771.0,20315.43114590713,6.709833883003038
109,E09000018,Hounslow,1973,269471.0,18595.01583356303,6.900562893061974
110,E09000019,Islington,2964,238213.0,12969.797302242156,5.444621956921812
111,E09000020,Kensington and Chelsea,1287,154948.0,10129.426722159737,6.537307175413518
112,E09000021,Kingston upon Thames,2907,173987.0,8562.917255760456,4.921584518245878
113,E09000022,Lambeth,3954,324575.0,19795.461551804354,6.0988867139503515
114,E09000023,Lewisham,3502,302166.0,13725.605566028866,4.542405686287957
115,E09000024,Merton,2571,204875.0,8777.122505865866,4.284135451307317
116,E09000025,Newham,776,350961.0,16015.724253957771,4.563391446331008
