,UTLA19CD,UTLA19NM,respondent,population,active_cases,percentage
0,E06000001,Hartlepool,74,92455.0,3867.4078915685996,
1,E06000002,Middlesbrough,112,139659.0,14.24455885912396,
2,E06000003,Redcar and Cleveland,174,135423.0,478.5493821405561,
3,E06000004,Stockton-on-Tees,274,195746.0,576.8486515972389,
4,E06000005,Darlington,205,105508.0,3.296918293926865e-12,
5,E06000006,Halton,114,127674.0,0.0,
6,E06000007,Warrington,431,207992.0,3653.5579115312203,
7,E06000008,Blackburn with Darwen,106,148166.0,0.0,
8,E06000009,Blackpool,107,137963.0,825.6538546644782,
9,E06000010,"Kingston upon Hull, City of",154,259149.0,4948.504817461213,
10,E06000011,East Riding of Yorkshire,765,336031.0,8100.120506015167,2.410527750717989
11,E06000012,North East Lincolnshire,137,158300.0,11258.731662117982,
12,E06000013,North Lincolnshire,216,170405.0,4063.856817646372,
13,E06000014,York,675,207799.0,6401.079616451004,
14,E06000015,Derby,411,254921.0,1295.1838916399618,
15,E06000016,Leicester,235,353020.0,4.501998773775995e-11,
16,E06000017,Rutland,194,39207.0,0.0,
17,E06000018,Nottingham,337,329068.0,9300.464014612884,
18,E06000019,"Herefordshire, County of",589,189824.0,1438.3159769833917,
19,E06000020,Telford and Wrekin,232,176740.0,620.5663220998761,
20,E06000021,Stoke-on-Trent,182,254230.0,226.48674062374778,
21,E06000022,Bath and North East Somerset,846,190096.0,5751.066034433241,3.0253482632108204
22,E06000023,"Bristol, City of",1416,459940.0,12707.419901640043,2.762842958133679
23,E06000024,North Somerset,850,211262.0,1355.8550992838993,0.6417884424477186
24,E06000025,South Gloucestershire,917,280179.0,2762.8939403593317,0.9861174250601692
25,E06000026,Plymouth,416,260815.0,4961.537194222358,
26,E06000027,Torbay,263,133799.0,0.0,
27,E06000030,Swindon,452,220365.0,3363.366311152882,
28,E06000031,Peterborough,291,199601.0,2388.0976641774255,
29,E06000032,Luton,171,212818.0,8295.985900405145,
30,E06000033,Southend-on-Sea,311,180319.0,1374.1757989086814,
31,E06000034,Thurrock,149,171548.0,7764.532075835327,
32,E06000035,Medway,398,276085.0,2416.3298732048543,
33,E06000036,Bracknell Forest,416,120850.0,65.87350877210439,
34,E06000037,West Berkshire,608,157215.0,764.023093270914,
35,E06000038,Reading,399,162111.0,1340.8293058421743,
36,E06000039,Slough,99,148414.0,4.774847184307873e-12,
37,E06000040,Windsor and Maidenhead,618,149214.0,3489.8556518780892,
38,E06000041,Wokingham,765,166550.0,4384.710206553763,2.6326689922268165
39,E06000042,Milton Keynes,650,266983.0,67.02358617314837,
40,E06000043,Brighton and Hove,1101,287939.0,5767.583884396092,2.00305755191068
41,E06000044,Portsmouth,414,213493.0,1886.5785476052697,
42,E06000045,Southampton,403,250992.0,2663.781666156765,
43,E06000046,Isle of Wight,407,139483.0,3698.1133361530983,
44,E06000047,County Durham,824,522842.0,12952.90812028556,2.477403904102111
45,E06000049,Cheshire East,1305,376355.0,7873.3610526970215,2.0920038401767007
46,E06000050,Cheshire West and Chester,980,337053.0,9903.257069764764,2.9381898602785808
47,E06000051,Shropshire,1018,316547.0,5052.255795985179,1.5960523385106098
48,E06000052,Cornwall,1885,558138.0,23184.037177621925,4.153818083990326
49,E06000053,Isles of Scilly,12,2198.0,0.0,
50,E06000054,Wiltshire,1948,492707.0,11879.036602861845,2.410973784188543
51,E06000055,Bedford,431,170018.0,1911.3720481813168,
52,E06000056,Central Bedfordshire,816,281466.0,9909.390709408071,3.520635071165992
53,E06000057,Northumberland,864,316927.0,25762.82173795426,8.128945068723795
54,E06000058,"Bournemouth, Christchurch and Poole",1162,390510.0,4262.376163315664,1.0914896323565757
55,E06000059,Dorset,1705,370768.0,10547.229689062924,2.844697948329663
56,E08000001,Bolton,320,283381.0,1178.050672392966,
57,E08000002,Bury,333,188590.0,12810.681052953707,
58,E08000003,Manchester,543,545218.0,16996.573144874565,
59,E08000004,Oldham,219,233982.0,0.0,
60,E08000005,Rochdale,195,218452.0,1566.229822935457,
61,E08000006,Salford,255,252606.0,28083.119136366557,
62,E08000007,Stockport,734,288940.0,3799.0390051546196,
63,E08000008,Tameside,242,223765.0,1.5234036254696548e-11,
64,E08000009,Trafford,530,234138.0,2893.139570944794,
65,E08000010,Wigan,299,323990.0,4332.448338938176,
66,E08000011,Knowsley,96,148509.0,1.3926637620897964e-12,
67,E08000012,Liverpool,522,491811.0,22291.528926695373,
68,E08000013,St. Helens,189,178726.0,617.4970015364099,
69,E08000014,Sefton,640,272132.0,11207.66100504457,
70,E08000015,Wirral,774,319813.0,3622.3173984694326,1.1326360712258203
71,E08000016,Barnsley,272,243197.0,1011.7567844155236,
72,E08000017,Doncaster,341,308096.0,5520.674086704658,
73,E08000018,Rotherham,267,262478.0,14576.054848581589,
74,E08000019,Sheffield,1261,577908.0,9596.114757451765,1.6604917664146828
75,E08000021,Newcastle upon Tyne,579,297950.0,2599.4818016004874,
76,E08000022,North Tyneside,442,204137.0,2986.965206759348,
77,E08000023,South Tyneside,170,148927.0,0.0,
78,E08000024,Sunderland,345,274345.0,2077.011137457974,
79,E08000025,Birmingham,1146,1133553.0,50512.50966834868,4.456122445827295
80,E08000026,Coventry,368,364246.0,2168.93954839177,
81,E08000027,Dudley,351,317880.0,5658.520003674258,
82,E08000028,Sandwell,132,325089.0,3342.0851862537065,
83,E08000029,Solihull,532,212380.0,2578.7669972499084,
84,E08000030,Walsall,210,281197.0,5223.542655960353,
85,E08000031,Wolverhampton,167,259759.0,6475.589544798141,
86,E08000032,Bradford,844,533428.0,3364.5995322888193,0.6307504540985511
87,E08000033,Calderdale,403,208357.0,2131.25871813628,
88,E08000034,Kirklees,637,435440.0,9974.617314962057,
89,E08000035,Leeds,1470,783815.0,20892.154387940685,2.6654445740309494
90,E08000036,Wakefield,406,342234.0,5922.072424915488,
91,E08000037,Gateshead,266,200838.0,1883.3786273764213,
92,E09000001,City of London,48,8610.0,171.41843527771374,
93,E09000002,Barking and Dagenham,87,210737.0,178.2771355875773,
94,E09000003,Barnet,1039,388654.0,10347.995775711563,2.66252136237156
95,E09000004,Bexley,503,244881.0,2344.0200285500523,
96,E09000005,Brent,287,328913.0,6885.662215623477,
97,E09000006,Bromley,1440,327901.0,7192.847218610786,2.1936033188708746
98,E09000007,Camden,659,260516.0,7396.35845925654,
99,E09000008,Croydon,835,382662.0,8993.458692473665,2.350235636795309
100,E09000009,Ealing,703,339832.0,7533.433339882763,
101,E09000010,Enfield,570,331642.0,4705.984358446282,
102,E09000011,Greenwich,577,284660.0,2423.090922797629,
103,E09000012,Hackney,448,278710.0,12986.910429110094,
104,E09000013,Hammersmith and Fulham,382,184553.0,2507.1594431573467,
105,E09000014,Haringey,778,269600.0,10348.173145705077,3.8383431549351177
106,E09000015,Harrow,429,248001.0,875.7776443740045,
107,E09000016,Havering,451,255125.0,5258.165655739156,
108,E09000017,Hillingdon,456,302771.0,19428.15948621471,
109,E09000018,Hounslow,492,269471.0,3296.64410545145,
110,E09000019,Islington,540,238213.0,9939.651132957088,
111,E09000020,Kensington and Chelsea,283,154948.0,0.0,
112,E09000021,Kingston upon Thames,694,173987.0,380.4448023186384,
113,E09000022,Lambeth,765,324575.0,13648.676781592378,4.2050918221034825
114,E09000023,Lewisham,688,302166.0,2924.405427463047,
115,E09000024,Merton,566,204875.0,3166.1021803298877,
116,E09000025,Newham,150,350961.0,3.788613867072854e-11,
117,E09000026,Redbridge,426,301727.0,4227.7629216999885,
118,E09000027,Richmond upon Thames,1195,195070.0,8621.244077601123,4.419564298765122
119,E09000028,Southwark,770,315948.0,6479.330320298858,2.050758454017388
120,E09000029,Sutton,597,202906.0,1107.4758175199431,
121,E09000030,Tower Hamlets,293,316864.0,6365.367936585355,
122,E09000031,Waltham Forest,441,275124.0,2077.7766553228307,
123,E09000032,Wandsworth,841,325003.0,9471.881911941657,2.914398301536188
124,E09000033,Westminster,347,253744.0,6088.388960890932,
125,E10000002,Buckinghamshire,2289,534652.0,17840.49555649821,3.336842573580237
126,E10000003,Cambridgeshire,2577,645140.0,16644.484629628172,2.579980256940846
127,E10000006,Cumbria,1270,493197.0,2118.818490423535,0.4296089575612858
128,E10000007,Derbyshire,1817,788644.0,26024.357148198418,3.299886532858732
129,E10000008,Devon,3055,782808.0,6250.182524816661,0.7984310999397887
130,E10000011,East Sussex,2106,545756.0,10374.150169148263,1.900876979666419
131,E10000012,Essex,3792,1462952.0,24493.14943040217,1.6742278236334598
132,E10000013,Gloucestershire,2263,626996.0,7305.013456881978,1.1650813493039793
133,E10000014,Hampshire,5621,1360471.0,20761.865361996857,1.5260792300605346
134,E10000015,Hertfordshire,4308,1173128.0,22113.36980912619,1.884992073254256
135,E10000016,Kent,4700,1552763.0,27643.46293672602,1.7802757366530513
136,E10000017,Lancashire,2100,1198862.0,19341.424857268274,1.6133153655106487
137,E10000018,Leicestershire,1632,691742.0,9761.95815209793,1.411213740397132
138,E10000019,Lincolnshire,1513,748129.0,8702.920866940733,1.1632914733877089
139,E10000020,Norfolk,2536,888775.0,9737.822575086768,1.095645419266605
140,E10000021,Northamptonshire,1610,741608.0,19166.033094154045,2.5843886654612738
141,E10000023,North Yorkshire,2116,605962.0,9982.817843477804,1.6474329815199311
142,E10000024,Nottinghamshire,1891,815579.0,19732.93819429734,2.419500525920523
143,E10000025,Oxfordshire,3208,680766.0,19175.70590041737,2.8167837260405735
144,E10000027,Somerset,1892,551952.0,4272.087502020786,0.773996199310952
145,E10000028,Staffordshire,1646,867253.0,7938.227425924864,0.9153300623837408
146,E10000029,Suffolk,2406,749202.0,13684.39950125958,1.8265300281178614
147,E10000030,Surrey,5351,1176444.0,31861.961398756983,2.708327927105496
148,E10000031,Warwickshire,1679,565051.0,15340.219611516426,2.7148380609036042
149,E10000032,West Sussex,3268,847765.0,32344.334364191043,3.8152476646465763
150,E10000034,Worcestershire,1646,585370.0,11119.235117170012,1.8995225442318555
151,W06000001,Isle of Anglesey,169,69076.0,5.5706550483591855e-12,
152,W06000002,Gwynedd,266,121417.0,6988.261099866891,
153,W06000003,Conwy,386,115236.0,5.6985527407960035e-12,
154,W06000004,Denbighshire,246,94456.0,3111.378519786297,
155,W06000005,Flintshire,411,154332.0,1766.4803512991489,
156,W06000006,Wrexham,257,134977.0,8150.8492351623645,
157,W06000008,Ceredigion,255,72040.0,4098.265282256754,
158,W06000009,Pembrokeshire,391,123478.0,1285.3348959192965,
159,W06000010,Carmarthenshire,458,185570.0,3199.993375197326,
160,W06000011,Swansea,693,244141.0,2780.703979706438,
161,W06000012,Neath Port Talbot,214,141710.0,0.0,
162,W06000013,Bridgend,260,143796.0,5340.747697159714,
163,W06000014,Vale of Glamorgan,509,130940.0,3901.669921746489,
164,W06000015,Cardiff,1030,361544.0,4658.843518646435,1.2885965521890654
165,W06000016,Rhondda Cynon Taf,413,238246.0,1434.5205592903148,
166,W06000018,Caerphilly,274,179810.0,4951.909049815996,
167,W06000019,Blaenau Gwent,74,69190.0,3.495870259939693e-12,
168,W06000020,Torfaen,179,92181.0,4.774847184307873e-12,
169,W06000021,Monmouthshire,428,92911.0,298.70374918481946,
170,W06000022,Newport,248,152146.0,677.83831098411,
171,W06000023,Powys,442,131960.0,661.2966603900037,
172,W06000024,Merthyr Tydfil,89,59791.0,673.9990411401187,
173,N09000001,Antrim and Newtownabbey,75,141298.0,0.0,
174,N09000002,"Armagh City, Banbridge and Craigavon",76,210609.0,0.0,
175,N09000003,Belfast,205,334945.0,4174.583415676649,
176,N09000004,Causeway Coast and Glens,68,142994.0,1249.589759726608,
177,N09000005,Derry City and Strabane,44,149612.0,0.0,
178,N09000006,Fermanagh and Omagh,28,115899.0,0.0,
179,N09000007,Lisburn and Castlereagh,137,147276.0,9772.133431361246,
180,N09000008,Mid and East Antrim,82,137485.0,0.0,
181,N09000009,Mid Ulster,32,147764.0,0.0,
182,N09000010,"Newry, Mourne and Down",54,179222.0,1.546140993013978e-11,
183,N09000011,Ards and North Down,191,159517.0,3254.918178172833,
184,S12000005,Clackmannanshire,73,51067.0,0.0,
185,S12000006,Dumfries and Galloway,258,147333.0,3290.003340785718,
186,S12000008,East Ayrshire,93,120952.0,8.810729923425242e-13,
187,S12000010,East Lothian,292,104960.0,176.24239791738754,
188,S12000011,East Renfrewshire,217,94204.0,585.3085647455772,
189,S12000013,Na h-Eileanan Siar,20,25770.0,1685.256282838638,
190,S12000014,Falkirk,182,159245.0,928.1047146270762,
191,S12000015,Fife,603,368877.0,1542.8126902755098,
192,S12000017,Highland,496,230386.0,3008.887610510922,
193,S12000018,Inverclyde,68,77450.0,0.0,
194,S12000019,Midlothian,147,90771.0,191.14901613467148,
