,UTLA19CD,UTLA19NM,respondent,population,active_cases,percentage
0,E06000001,Hartlepool,73,92455.0,3087.27412805005,
1,E06000002,Middlesbrough,113,139659.0,73.36747071443858,
2,E06000003,Redcar and Cleveland,172,135423.0,457.4812329718178,
3,E06000004,Stockton-on-Tees,270,195746.0,1903.6384640482684,
4,E06000005,Darlington,206,105508.0,0.0,
5,E06000006,Halton,111,127674.0,4158.330442228415,
6,E06000007,Warrington,429,207992.0,4893.19629432788,
7,E06000008,Blackburn with Darwen,103,148166.0,1.5916157281026244e-11,
8,E06000009,Blackpool,105,137963.0,0.0,
9,E06000010,"Kingston upon Hull, City of",153,259149.0,2992.114349596853,
10,E06000011,East Riding of Yorkshire,756,336031.0,4128.98134133265,1.2287501276169908
11,E06000012,North East Lincolnshire,137,158300.0,7186.068925470401,
12,E06000013,North Lincolnshire,208,170405.0,5252.243931019191,
13,E06000014,York,675,207799.0,14327.941415936963,
14,E06000015,Derby,404,254921.0,1194.6415203347483,
15,E06000016,Leicester,232,353020.0,6.434675015043467e-11,
16,E06000017,Rutland,186,39207.0,5.215383680479135e-12,
17,E06000018,Nottingham,335,329068.0,749.0667889497824,
18,E06000019,"Herefordshire, County of",579,189824.0,1341.7104888652077,
19,E06000020,Telford and Wrekin,234,176740.0,634.7624981443957,
20,E06000021,Stoke-on-Trent,182,254230.0,286.52666171798376,
21,E06000022,Bath and North East Somerset,830,190096.0,7264.767448366687,3.821630885640249
22,E06000023,"Bristol, City of",1396,459940.0,7426.066940073657,1.6145729747518496
23,E06000024,North Somerset,836,211262.0,1425.7748421800857,0.6748846655717003
24,E06000025,South Gloucestershire,902,280179.0,1781.8032130572128,0.635951735518084
25,E06000026,Plymouth,412,260815.0,4608.314711697404,
26,E06000027,Torbay,264,133799.0,0.0,
27,E06000030,Swindon,442,220365.0,1898.9108452657938,
28,E06000031,Peterborough,289,199601.0,1437.1015690093582,
29,E06000032,Luton,169,212818.0,6297.239745066985,
30,E06000033,Southend-on-Sea,309,180319.0,1464.7812086096772,
31,E06000034,Thurrock,147,171548.0,3608.909205618621,
32,E06000035,Medway,391,276085.0,972.1427926374281,
33,E06000036,Bracknell Forest,414,120850.0,300.84999297651115,
34,E06000037,West Berkshire,609,157215.0,1043.204973722942,
35,E06000038,Reading,392,162111.0,4513.526165428094,
36,E06000039,Slough,98,148414.0,5.115907697472721e-12,
37,E06000040,Windsor and Maidenhead,609,149214.0,3168.6152255285165,
38,E06000041,Wokingham,751,166550.0,4577.543068650403,2.7484497560194554
39,E06000042,Milton Keynes,638,266983.0,171.86539546896188,
40,E06000043,Brighton and Hove,1086,287939.0,7455.845114692302,2.5893835550905924
41,E06000044,Portsmouth,404,213493.0,0.0,
42,E06000045,Southampton,389,250992.0,3760.3760247771534,
43,E06000046,Isle of Wight,400,139483.0,2090.9107946527993,
44,E06000047,County Durham,815,522842.0,9738.09148222647,1.862530455132998
45,E06000049,Cheshire East,1298,376355.0,3219.7835040811406,0.8555176639293063
46,E06000050,Cheshire West and Chester,977,337053.0,7046.962603383244,2.0907580123551024
47,E06000051,Shropshire,1000,316547.0,4786.244645420251,1.51201706079042
48,E06000052,Cornwall,1861,558138.0,20453.94906654799,3.6646759522820505
49,E06000053,Isles of Scilly,12,2198.0,0.0,
50,E06000054,Wiltshire,1923,492707.0,11381.021760652813,2.3098965025162648
51,E06000055,Bedford,431,170018.0,2936.8650266430636,
52,E06000056,Central Bedfordshire,808,281466.0,9387.69560076015,3.3352858252009656
53,E06000057,Northumberland,865,316927.0,25931.297042147515,8.182104094049265
54,E06000058,"Bournemouth, Christchurch and Poole",1151,390510.0,4158.19925214636,1.0648124893463318
55,E06000059,Dorset,1695,370768.0,12293.934148791654,3.3158023747442216
56,E08000001,Bolton,319,283381.0,1361.0623615115671,
57,E08000002,Bury,331,188590.0,5322.800596673587,
58,E08000003,Manchester,534,545218.0,21807.28768990026,
59,E08000004,Oldham,212,233982.0,208.18796057597174,
60,E08000005,Rochdale,194,218452.0,2136.8583147676586,
61,E08000006,Salford,249,252606.0,17983.509545474728,
62,E08000007,Stockport,722,288940.0,3243.9282367217943,
63,E08000008,Tameside,235,223765.0,0.0,
64,E08000009,Trafford,518,234138.0,1600.055254480459,
65,E08000010,Wigan,291,323990.0,9972.255491662178,
66,E08000011,Knowsley,93,148509.0,100.05571555360743,
67,E08000012,Liverpool,529,491811.0,32339.97888557048,
68,E08000013,St. Helens,188,178726.0,1001.222936415854,
69,E08000014,Sefton,635,272132.0,10640.96921094902,
70,E08000015,Wirral,762,319813.0,3622.0422780260074,1.132550045816151
71,E08000016,Barnsley,266,243197.0,2075.4748771776203,
72,E08000017,Doncaster,343,308096.0,2859.705567692069,
73,E08000018,Rotherham,269,262478.0,12197.713377062195,
74,E08000019,Sheffield,1248,577908.0,4350.604670719673,0.7528195959771578
75,E08000021,Newcastle upon Tyne,571,297950.0,2056.5786956354987,
76,E08000022,North Tyneside,439,204137.0,1268.0958276142396,
77,E08000023,South Tyneside,168,148927.0,2.5011104298755527e-12,
78,E08000024,Sunderland,348,274345.0,5123.73958578676,
79,E08000025,Birmingham,1137,1133553.0,44499.38087068671,3.9256550748563774
80,E08000026,Coventry,362,364246.0,7111.929482252637,
