date - 3,% positive
06/07/20,0.04
13/07/20,0.05
20/07/20,0.07
27/07/20,0.05
03/08/20,0.05
07/08/20,0.05
14/08/20,0.05
19/08/20,0.05
30/08/20,0.07
04/09/20,0.11
13/09/20,0.19
18/09/20,0.21
25/09/20,0.41
02/10/20,0.62
10/10/20,0.79
17/10/20,1.04
25/10/20,1.13
31/10/20,1.2
08/11/20,1.22
15/11/20,1.16
22/11/20,0.96
29/11/20,0.88
06/12/20,1.04
12/12/20,1.18
17/12/20,1.47
27/12/20,2.06
03/01/21,2.08
10/01/21,1.88
17/01/21,1.87
24/01/21,1.55
31/01/21,1.28
06/02/21,0.88
13/02/21,0.69
21/02/21,0.45
28/02/21,0.37
07/03/21,0.29
14/03/21,0.3
21/03/21,0.27
28/03/21,0.3
04/04/21,0.21
10/04/21,0.17
18/04/21,0.1
26/04/21,0.08
02/05/21,0.07
09/05/21,0.09
16/05/21,0.09
23/05/21,0.16
30/05/21,0.18
06/06/21,0.19
13/06/21,0.22
20/06/21,0.39
27/06/21,0.61
04/07/21,1.06
11/07/21,1.36
18/07/21,1.57
25/07/21,1.32
31/07/21,1.33
08/08/21,1.28
14/08/21,1.39
21/08/21,1.41
28/08/21,1.38
05/09/21,1.28
12/09/21,1.14
19/09/21,1.21
26/09/21,1.44
03/10/21,1.63
10/10/21,1.79
16/10/21,2.02
24/10/21,2.02
31/10/21,1.7
07/11/21,1.51
14/11/21,1.58
21/11/21,1.65
25/11/21,1.64
05/12/21,1.72
10/12/21,2.21
13/12/21,2.83
17/12/21,3.71
25/12/21,6
31/12/21,6.85
09/01/22,5.47
16/01/22,4.82
23/01/22,4.83
30/01/22,5.18
06/02/22,4.49
13/02/22,3.84
20/02/22,3.55
27/02/22,3.8
06/03/22,4.87
13/03/22,6.39
20/03/22,7.56
27/03/22,7.6
03/04/22,6.92
10/04/22,5.9
17/04/22,4.42
24/04/22,2.91
01/05/22,2.21
07/05/22,1.9
15/05/22,1.6
21/05/22,1.44
27/05/22,1.46
05/06/22,2.07
12/06/22,2.5
18/06/22,3.35
23/06/22,3.95
30/06/22,5.27
07/07/22,5.77
14/07/22,4.83
20/07/22,3.86
31/07/22,2.63
10/08/22,2.22
17/08/22,1.64
22/08/22,1.41
30/08/22,1.29
08/09/22,1.41
