date,% positive
26 July 2022,3.36
27 July 2022,3.24
28 July 2022,3.13
29 July 2022,3.03
30 July 2022,2.94
31 July 2022,2.87
01 August 2022,2.80
02 August 2022,2.73
03 August 2022,2.67
04 August 2022,2.62
05 August 2022,2.56
06 August 2022,2.50
07 August 2022,2.45
08 August 2022,2.39
09 August 2022,2.32
10 August 2022,2.26
11 August 2022,2.19
12 August 2022,2.12
13 August 2022,2.05
14 August 2022,1.98
15 August 2022,1.91
16 August 2022,1.84
17 August 2022,1.78
18 August 2022,1.71
19 August 2022,1.65
20 August 2022,1.60
21 August 2022,1.55
22 August 2022,1.51
23 August 2022,1.47
24 August 2022,1.44
25 August 2022,1.41
26 August 2022,1.38
27 August 2022,1.36
28 August 2022,1.34
29 August 2022,1.33
30 August 2022,1.32
31 August 2022,1.31
01 September 2022,1.30
02 September 2022,1.29
03 September 2022,1.29
04 September 2022,1.29
05 September 2022,1.30
