date,% positive
26 July 2022,3.84
27 July 2022,3.78
28 July 2022,3.72
29 July 2022,3.66
30 July 2022,3.61
31 July 2022,3.55
01 August 2022,3.49
02 August 2022,3.42
03 August 2022,3.35
04 August 2022,3.27
05 August 2022,3.18
06 August 2022,3.08
07 August 2022,2.98
08 August 2022,2.88
09 August 2022,2.77
10 August 2022,2.67
11 August 2022,2.57
12 August 2022,2.47
13 August 2022,2.38
14 August 2022,2.29
15 August 2022,2.21
16 August 2022,2.14
17 August 2022,2.08
18 August 2022,2.03
19 August 2022,1.99
20 August 2022,1.95
21 August 2022,1.93
22 August 2022,1.91
23 August 2022,1.91
24 August 2022,1.91
25 August 2022,1.91
26 August 2022,1.93
27 August 2022,1.95
28 August 2022,1.97
29 August 2022,2.00
30 August 2022,2.04
31 August 2022,2.07
01 September 2022,2.11
02 September 2022,2.16
03 September 2022,2.20
04 September 2022,2.25
05 September 2022,2.30
