region,UTLA19CD,lad16cd,imd,+ LSOA_count
East Midlands,E06000015,E06000015,1,67
East Midlands,E06000015,E06000015,2,37
East Midlands,E06000015,E06000015,3,47
East Midlands,E06000016,E06000016,1,108
East Midlands,E06000016,E06000016,2,61
East Midlands,E06000016,E06000016,3,23
East Midlands,E06000017,E06000017,2,3
East Midlands,E06000017,E06000017,3,20
East Midlands,E06000018,E06000018,1,127
East Midlands,E06000018,E06000018,2,41
East Midlands,E06000018,E06000018,3,14
East Midlands,E10000007,E07000032,1,15
East Midlands,E10000007,E07000032,2,27
East Midlands,E10000007,E07000032,3,36
East Midlands,E10000007,E07000033,1,19
East Midlands,E10000007,E07000033,2,21
East Midlands,E10000007,E07000033,3,8
East Midlands,E10000007,E07000034,1,30
East Midlands,E10000007,E07000034,2,19
East Midlands,E10000007,E07000034,3,20
East Midlands,E10000007,E07000035,1,1
East Midlands,E10000007,E07000035,2,12
East Midlands,E10000007,E07000035,3,30
East Midlands,E10000007,E07000036,1,22
East Midlands,E10000007,E07000036,2,15
East Midlands,E10000007,E07000036,3,36
East Midlands,E10000007,E07000037,1,6
East Midlands,E10000007,E07000037,2,20
East Midlands,E10000007,E07000037,3,33
East Midlands,E10000007,E07000038,1,11
East Midlands,E10000007,E07000038,2,21
East Midlands,E10000007,E07000038,3,31
East Midlands,E10000007,E07000039,1,6
East Midlands,E10000007,E07000039,2,19
East Midlands,E10000007,E07000039,3,33
East Midlands,E10000018,E07000129,2,15
East Midlands,E10000018,E07000129,3,45
East Midlands,E10000018,E07000130,1,11
East Midlands,E10000018,E07000130,2,21
East Midlands,E10000018,E07000130,3,67
East Midlands,E10000018,E07000131,1,1
East Midlands,E10000018,E07000131,2,4
East Midlands,E10000018,E07000131,3,42
East Midlands,E10000018,E07000132,1,6
East Midlands,E10000018,E07000132,2,17
East Midlands,E10000018,E07000132,3,43
East Midlands,E10000018,E07000133,1,2
East Midlands,E10000018,E07000133,2,8
East Midlands,E10000018,E07000133,3,20
East Midlands,E10000018,E07000134,1,4
East Midlands,E10000018,E07000134,2,17
East Midlands,E10000018,E07000134,3,37
East Midlands,E10000018,E07000135,1,5
East Midlands,E10000018,E07000135,2,7
East Midlands,E10000018,E07000135,3,24
East Midlands,E10000019,E07000136,1,14
East Midlands,E10000019,E07000136,2,14
East Midlands,E10000019,E07000136,3,8
East Midlands,E10000019,E07000137,1,42
East Midlands,E10000019,E07000137,2,24
East Midlands,E10000019,E07000137,3,15
East Midlands,E10000019,E07000138,1,26
East Midlands,E10000019,E07000138,2,16
East Midlands,E10000019,E07000138,3,15
East Midlands,E10000019,E07000139,1,3
East Midlands,E10000019,E07000139,2,15
East Midlands,E10000019,E07000139,3,46
East Midlands,E10000019,E07000140,1,4
East Midlands,E10000019,E07000140,2,30
East Midlands,E10000019,E07000140,3,15
East Midlands,E10000019,E07000141,1,7
East Midlands,E10000019,E07000141,2,21
East Midlands,E10000019,E07000141,3,53
East Midlands,E10000019,E07000142,1,12
East Midlands,E10000019,E07000142,2,19
East Midlands,E10000019,E07000142,3,21
East Midlands,E10000021,E07000150,1,22
East Midlands,E10000021,E07000150,2,10
East Midlands,E10000021,E07000150,3,9
East Midlands,E10000021,E07000151,1,3
East Midlands,E10000021,E07000151,2,12
East Midlands,E10000021,E07000151,3,29
East Midlands,E10000021,E07000152,1,8
East Midlands,E10000021,E07000152,2,13
East Midlands,E10000021,E07000152,3,28
East Midlands,E10000021,E07000153,1,13
East Midlands,E10000021,E07000153,2,16
East Midlands,E10000021,E07000153,3,28
East Midlands,E10000021,E07000154,1,50
East Midlands,E10000021,E07000154,2,36
East Midlands,E10000021,E07000154,3,47
East Midlands,E10000021,E07000155,2,3
East Midlands,E10000021,E07000155,3,48
East Midlands,E10000021,E07000156,1,16
East Midlands,E10000021,E07000156,2,10
East Midlands,E10000021,E07000156,3,21
East Midlands,E10000024,E07000170,1,28
East Midlands,E10000024,E07000170,2,33
East Midlands,E10000024,E07000170,3,13
East Midlands,E10000024,E07000171,1,26
East Midlands,E10000024,E07000171,2,22
East Midlands,E10000024,E07000171,3,22
East Midlands,E10000024,E07000172,1,6
East Midlands,E10000024,E07000172,2,24
East Midlands,E10000024,E07000172,3,41
East Midlands,E10000024,E07000173,1,10
East Midlands,E10000024,E07000173,2,24
East Midlands,E10000024,E07000173,3,43
East Midlands,E10000024,E07000174,1,36
East Midlands,E10000024,E07000174,2,15
East Midlands,E10000024,E07000174,3,16
East Midlands,E10000024,E07000175,1,16
East Midlands,E10000024,E07000175,2,26
East Midlands,E10000024,E07000175,3,28
East Midlands,E10000024,E07000176,2,6
East Midlands,E10000024,E07000176,3,62
East of England,E06000031,E06000031,1,54
East of England,E06000031,E06000031,2,30
East of England,E06000031,E06000031,3,28
East of England,E06000032,E06000032,1,51
East of England,E06000032,E06000032,2,46
East of England,E06000032,E06000032,3,24
East of England,E06000033,E06000033,1,35
East of England,E06000033,E06000033,2,28
East of England,E06000033,E06000033,3,44
East of England,E06000034,E06000034,1,25
East of England,E06000034,E06000034,2,37
East of England,E06000034,E06000034,3,36
East of England,E06000055,E06000055,1,25
East of England,E06000055,E06000055,2,32
East of England,E06000055,E06000055,3,46
East of England,E06000056,E06000056,1,13
East of England,E06000056,E06000056,2,32
East of England,E06000056,E06000056,3,112
East of England,E10000003,E07000008,1,9
East of England,E10000003,E07000008,2,24
East of England,E10000003,E07000008,3,36
East of England,E10000003,E07000009,2,18
East of England,E10000003,E07000009,3,32
East of England,E10000003,E07000010,1,21
East of England,E10000003,E07000010,2,27
