date,covid_in_pop
2020-05-12,11885.0
2020-05-13,11688.0
2020-05-14,10999.0
2020-05-15,10207.0
2020-05-16,9728.0
2020-05-17,8782.0
2020-05-18,8617.0
2020-05-19,8469.0
2020-05-20,8101.0
2020-05-21,8069.0
2020-05-22,7629.0
2020-05-23,7764.0
2020-05-24,7378.0
2020-05-25,7726.0
2020-05-26,7515.0
2020-05-27,7407.0
2020-05-28,7265.0
2020-05-29,6838.0
2020-05-30,6543.0
2020-05-31,5909.0
2020-06-01,5292.0
2020-06-02,4770.0
2020-06-03,4735.0
2020-06-04,4211.0
2020-06-05,3929.0
2020-06-06,3499.0
2020-06-07,2906.0
2020-06-08,2751.0
2020-06-09,2525.0
2020-06-10,2069.0
2020-06-11,2014.0
2020-06-12,2009.0
2020-06-13,1965.0
2020-06-14,2042.0
2020-06-15,2087.0
2020-06-16,2119.0
2020-06-17,2032.0
2020-06-18,2043.0
2020-06-19,2027.0
2020-06-20,1980.0
2020-06-21,1880.0
2020-06-22,1894.0
2020-06-23,1878.0
2020-06-24,1558.0
2020-06-25,1461.0
2020-06-26,1258.0
2020-06-27,1295.0
2020-06-28,1317.0
2020-06-29,1335.0
2020-06-30,1336.0
2020-07-01,1243.0
2020-07-02,1257.0
2020-07-03,1501.0
2020-07-04,1336.0
2020-07-05,1295.0
2020-07-06,1474.0
2020-07-07,1753.0
2020-07-08,1772.0
2020-07-09,1676.0
2020-07-10,1738.0
2020-07-11,1829.0
2020-07-12,1959.0
2020-07-13,1949.0
2020-07-14,1935.0
2020-07-15,1949.0
2020-07-16,1730.0
2020-07-17,1961.0
2020-07-18,1916.0
2020-07-19,1898.0
2020-07-20,2113.0
2020-07-21,1964.0
2020-07-22,1900.0
2020-07-23,1840.0
2020-07-24,1978.0
2020-07-25,1878.0
2020-07-26,1804.0
2020-07-27,1586.0
2020-07-28,1654.0
2020-07-29,1827.0
2020-07-30,1736.0
2020-07-31,1531.0
2020-08-01,1457.0
2020-08-02,1346.0
2020-08-03,1412.0
2020-08-04,1376.0
2020-08-05,1364.0
2020-08-06,1299.0
2020-08-07,1376.0
2020-08-08,1352.0
2020-08-09,1049.0
2020-08-10,1063.0
2020-08-11,1140.0
2020-08-12,877.0
2020-08-13,903.0
2020-08-14,939.0
2020-08-15,1033.0
2020-08-16,929.0
2020-08-17,848.0
2020-08-18,944.0
2020-08-19,1151.0
2020-08-20,1070.0
2020-08-21,1104.0
2020-08-22,1073.0
2020-08-23,1027.0
2020-08-24,1130.0
2020-08-25,1163.0
2020-08-26,1108.0
2020-08-27,1262.0
2020-08-28,1392.0
2020-08-29,1317.0
2020-08-30,1341.0
2020-08-31,1647.0
2020-09-01,1666.0
2020-09-02,1800.0
2020-09-03,2144.0
2020-09-04,2299.0
2020-09-05,2573.0
2020-09-06,2723.0
2020-09-07,2863.0
2020-09-08,3437.0
2020-09-09,3936.0
2020-09-10,4592.0
2020-09-11,5016.0
2020-09-12,5667.0
2020-09-13,6484.0
2020-09-14,7007.0
2020-09-15,7646.0
2020-09-16,8370.0
2020-09-17,9357.0
2020-09-18,10202.0
2020-09-19,11376.0
2020-09-20,12562.0
2020-09-21,13290.0
2020-09-22,14463.0
2020-09-23,14872.0
2020-09-24,14988.0
2020-09-25,14839.0
2020-09-26,15287.0
2020-09-27,15580.0
2020-09-28,16543.0
2020-09-29,16407.0
2020-09-30,16140.0
2020-10-01,16245.0
2020-10-02,17070.0
2020-10-03,17974.0
2020-10-04,18486.0
2020-10-05,18715.0
2020-10-06,19389.0
2020-10-07,19818.0
2020-10-08,20842.0
2020-10-09,21021.0
2020-10-10,22163.0
2020-10-11,23462.0
2020-10-12,24741.0
2020-10-13,25562.0
2020-10-14,26799.0
2020-10-15,27507.0
2020-10-16,27723.0
2020-10-17,29156.0
2020-10-18,30064.0
2020-10-19,31337.0
2020-10-20,32064.0
2020-10-21,34012.0
2020-10-22,35101.0
2020-10-23,35800.0
2020-10-24,35703.0
2020-10-25,35951.0
2020-10-26,36176.0
2020-10-27,35905.0
2020-10-28,35430.0
2020-10-29,35415.0
2020-10-30,35308.0
2020-10-31,35232.0
2020-11-01,34938.0
2020-11-02,34088.0
2020-11-03,32484.0
2020-11-04,31647.0
2020-11-05,31512.0
2020-11-06,31113.0
2020-11-07,31491.0
2020-11-08,31580.0
2020-11-09,31916.0
2020-11-10,33072.0
2020-11-11,32981.0
2020-11-12,31941.0
2020-11-13,32480.0
2020-11-14,32359.0
2020-11-15,31950.0
2020-11-16,32420.0
2020-11-17,32482.0
2020-11-18,31345.0
2020-11-19,30612.0
2020-11-20,29130.0
2020-11-21,28138.0
2020-11-22,26134.0
2020-11-23,24169.0
2020-11-24,21758.0
2020-11-25,20521.0
2020-11-26,19498.0
2020-11-27,18274.0
2020-11-28,17010.0
2020-11-29,16231.0
2020-11-30,15816.0
2020-12-01,15127.0
2020-12-02,14458.0
2020-12-03,14175.0
2020-12-04,14103.0
2020-12-05,14312.0
2020-12-06,14410.0
2020-12-07,14684.0
2020-12-08,14706.0
2020-12-09,15189.0
2020-12-10,15410.0
2020-12-11,16754.0
2020-12-12,17821.0
2020-12-13,19061.0
2020-12-14,20024.0
2020-12-15,22099.0
2020-12-16,24080.0
2020-12-17,26263.0
2020-12-18,28002.0
2020-12-19,30077.0
2020-12-20,31798.0
2020-12-21,33834.0
2020-12-22,35676.0
2020-12-23,36786.0
2020-12-24,38407.0
2020-12-25,39369.0
2020-12-26,41809.0
2020-12-27,44325.0
2020-12-28,46053.0
2020-12-29,49001.0
2020-12-30,50904.0
2020-12-31,51999.0
2021-01-01,52698.0
2021-01-02,53277.0
2021-01-03,53180.0
2021-01-04,52195.0
2021-01-05,51552.0
2021-01-06,49966.0
2021-01-07,48101.0
2021-01-08,47133.0
2021-01-09,44917.0
2021-01-10,42915.0
2021-01-11,40094.0
2021-01-12,37380.0
2021-01-13,34854.0
2021-01-14,33486.0
2021-01-15,31985.0
2021-01-16,30769.0
2021-01-17,28768.0
2021-01-18,27835.0
2021-01-19,26979.0
2021-01-20,25979.0
2021-01-21,25329.0
2021-01-22,24942.0
2021-01-23,24516.0
2021-01-24,24309.0
2021-01-25,23344.0
2021-01-26,22314.0
2021-01-27,21344.0
2021-01-28,20188.0
2021-01-29,18956.0
2021-01-30,18068.0
2021-01-31,16988.0
2021-02-01,15933.0
2021-02-02,15128.0
2021-02-03,14358.0
2021-02-04,14013.0
2021-02-05,12953.0
