date,active_cases
2021-02-09,254626.9212634929
2021-02-10,241494.42252036429
2021-02-11,231769.1326179864
2021-02-12,221366.03683384313
2021-02-13,211736.9333443953
2021-02-14,203166.3110092379
2021-02-15,195168.6875053054
2021-02-16,188760.6043724518
2021-02-17,182970.74224870562
2021-02-18,179355.46602342167
2021-02-19,175668.17618056826
2021-02-20,173055.37312561253
2021-02-21,170761.85216029786
2021-02-22,169771.3973432847
2021-02-23,136246.72712825483
2021-02-24,133360.74219070637
2021-02-25,130437.94680974785
2021-02-26,128590.90292325712
2021-02-27,126279.92795558834
2021-02-28,124220.67480180935
2021-03-01,121942.60746293189
2021-03-02,119419.99883143851
2021-03-03,116383.15955129164
2021-03-04,114040.4681345315
2021-03-05,110274.41510652323
2021-03-06,107532.71905964194
2021-03-07,104162.16196724342
2021-03-08,99695.85931303854
2021-03-09,95383.21942482515
2021-03-10,91682.97895261135
2021-03-11,87687.5874888816
2021-03-12,83486.12463459112
2021-03-13,80293.274040243
2021-03-14,76392.68789569431
2021-03-15,72920.1376922882
2021-03-16,69100.18749087365
2021-03-17,66567.0886955786
2021-03-18,63915.07030570159
2021-03-19,61039.53974012341
2021-03-20,58660.61050858168
2021-03-21,56948.90049625901
2021-03-22,56255.84821225825
2021-03-23,55392.30607344703
2021-03-24,54405.43721818518
2021-03-25,53131.91493570639
2021-03-26,51752.52709828188
2021-03-27,51285.689546745634
2021-03-28,50410.39050298686
2021-03-29,49363.35057491234
2021-03-30,48697.37332828838
2021-03-31,47299.93115847447
2021-04-01,46185.49585802016
2021-04-02,44581.3039397665
2021-04-03,43195.35430666886
2021-04-04,41687.717146775125
2021-04-05,39126.047731447296
2021-04-06,36979.54939644634
2021-04-07,35076.94934046561
2021-04-08,33621.20502160332
2021-04-09,32917.48648908141
2021-04-10,31190.434043370464
2021-04-11,30013.020259786084
2021-04-12,28662.629417683005
2021-04-13,27475.269478439637
2021-04-14,26118.91798565565
2021-04-15,25001.579078905594
2021-04-16,23887.165634724624
2021-04-17,22510.77001174217
2021-04-18,21738.94661639508
2021-04-19,20534.992937761304
2021-04-20,19644.06135776701
2021-04-21,18929.37712813886
2021-04-22,17931.30389556258
2021-04-23,17254.98598464061
2021-04-24,16119.158885188745
2021-04-25,15332.398442861608
2021-04-26,14929.233751251471
2021-04-27,14476.685115114235
2021-04-28,13987.872768566584
2021-04-29,13313.883696564972
2021-04-30,12987.65225856553
2021-05-01,12557.032155563773
2021-05-02,12362.589012531997
2021-05-03,12096.054257224261
2021-05-04,11933.925502257818
2021-05-05,11937.095423383793
2021-05-06,11838.781467876677
2021-05-07,12080.850555182868
2021-05-08,12240.068374303879
2021-05-09,12854.055086460598
2021-05-10,13365.322749826406
2021-05-11,13940.648909209523
2021-05-12,25222.82487403775
2021-05-13,25937.88177233014
2021-05-14,26383.532528947235
2021-05-15,26415.416926352955
2021-05-16,26079.121526026305
2021-05-17,26019.024008377193
2021-05-18,27368.027196798503
2021-05-19,28443.856956524447
2021-05-20,29098.790049311017
2021-05-21,30530.961202393046
2021-05-22,31090.511186463606
2021-05-23,30968.854159264054
2021-05-24,31743.05778643158
2021-05-25,32364.776199440566
2021-05-26,33640.68831953479
2021-05-27,35773.44966101606
2021-05-28,37965.40508849355
2021-05-29,40186.67900913625
2021-05-30,42930.70090481937
2021-05-31,43339.78579531784
2021-06-01,46920.27390197089
2021-06-02,51911.96349363013
2021-06-03,54994.13598255611
2021-06-04,58989.01642712258
2021-06-05,65438.45374336324
2021-06-06,70983.08265656159
2021-06-07,78666.55765315224
2021-06-08,85080.5930479828
2021-06-09,92391.3857256497
2021-06-10,100737.13868523293
2021-06-11,109019.80581150501
2021-06-12,119548.98642491185
2021-06-13,127121.47289933795
2021-06-14,134368.61700160665
2021-06-15,142176.3248638321
2021-06-16,149358.98244769554
2021-06-17,157518.41435463208
2021-06-18,163460.57163907518
2021-06-19,168430.14151358767
2021-06-20,175027.69143337887
2021-06-21,183177.068015153
2021-06-22,190423.40592975292
2021-06-23,192734.6669698719
2021-06-24,199054.89405898735
2021-06-25,205915.72314566452
2021-06-26,212426.80139773828
2021-06-27,218088.33344891385
2021-06-28,226024.6309229403
2021-06-29,238958.34732385658
2021-06-30,248366.36125212416
2021-07-01,261531.5280634724
2021-07-02,271475.018566107
2021-07-03,284098.2346227365
2021-07-04,293296.87094932643
2021-07-05,304700.5808749731
2021-07-06,313604.58467489964
2021-07-07,323724.3905073727
2021-07-08,329705.8937765411
2021-07-09,336960.2024703901
2021-07-10,340982.6896462592
2021-07-11,347106.659425856
2021-07-12,354017.7370006135
2021-07-13,356648.03848293156
2021-07-14,366428.8613171648
2021-07-15,371561.3282183841
2021-07-16,372634.4572159048
